,username,datetime,comment,likes,url
0,beautybeyablue,2021-07-11T21:31:10.000Z,❤️RIP Kobe,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
1,kl3v3rn,2021-07-14T22:37:40.000Z,Legendary intro to my career.,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
2,ctheworld85,2021-07-15T14:07:00.000Z,R.I.H. Kobe Bryant ❤️🕊,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
3,lakeshowluu,2021-07-16T02:11:28.000Z,@green.n.glowing,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
4,otrovnome,2021-07-16T23:26:16.000Z,miss him,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
5,jonesshendrixx,2021-07-24T03:23:48.000Z,Got a ring with you on the Lakers just know 😅🔥,Reply,https://www.instagram.com/p/B79cmW0J1SN/
6,leowilllams,2021-07-24T08:33:07.000Z,why tf 2k cant do stuff like his anymore.,6 likes,https://www.instagram.com/p/B79cmW0J1SN/
7,ethereals888,2021-07-26T20:23:01.000Z,❤️❤️❤️❤️,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
8,sirelleactress,2021-07-31T08:00:09.000Z,Super dope video!🔥🔥🔥 #KobetheLegend🏀,Reply,https://www.instagram.com/p/B79cmW0J1SN/
9,carribeinthatrari,2021-07-31T08:08:39.000Z,BRO THIS WAS THE BEST 2K WE NEED SOmEthing like this again @ronnie2k,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
10,_jamillypaiva_,2021-08-01T03:37:32.000Z,@igorx__ntj,1 like,https://www.instagram.com/p/B79cmW0J1SN/
11,1mdylan_3x,2021-08-04T21:17:40.000Z,I should've kept this disc😢,4 likes,https://www.instagram.com/p/B79cmW0J1SN/
12,ezaquiel_carlos,2021-08-09T13:05:56.000Z,Kobryan brien descanse em paz estás vivo em nossas memórias wakanda foreverl.,1 like,https://www.instagram.com/p/B79cmW0J1SN/
13,theerealistdon,2021-08-11T17:54:25.000Z,NBA 2K17 will always be golden cuz of Kobe and MBJ collab in career mode,7 likes,https://www.instagram.com/p/B79cmW0J1SN/
14,oddness971,2021-08-13T01:17:39.000Z,👏👏👏👏,Reply,https://www.instagram.com/p/B79cmW0J1SN/
15,_carlim__002,2021-08-13T03:15:09.000Z,Kings❤️,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
16,kevin.marx_noren,2021-08-16T03:49:21.000Z,"Bro, the song playing in the background from 2k17 ”its gonna be good times” is such a vibe and memories. RIP Kobe",8 likes,https://www.instagram.com/p/B79cmW0J1SN/
17,fdnstudio,2021-08-23T21:21:58.000Z,🙌,1 like,https://www.instagram.com/p/B79cmW0J1SN/
18,ask_testify,2021-08-27T00:07:52.000Z,Bring back 2k17 servers for the respect for Kobe Bryant?🙂💯💯,10 likes,https://www.instagram.com/p/B79cmW0J1SN/
19,iamjayofficial876,2021-09-08T14:28:46.000Z,@popcaanmusic 🔥🔥🇯🇲,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
20,cnycetour,2021-09-12T05:38:00.000Z,Rip Kobe man your are one of the luckiest actors of all time😢 you got to work with Kobe man I’m so sad he gone😢,5 likes,https://www.instagram.com/p/B79cmW0J1SN/
21,touiconic,2021-09-14T01:32:36.000Z,Yoo Michael can u please check your dm. If u see this,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
22,sugarjones54,2021-10-04T06:14:00.000Z,🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/B79cmW0J1SN/
23,sadtairi,2021-10-09T23:58:36.000Z,Your welcome🤗!,Reply,https://www.instagram.com/p/B79cmW0J1SN/
24,stayloowkeey,2021-06-04T05:07:43.000Z,best 2k ever,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
25,elieser_1727,2021-06-09T12:06:35.000Z,😍,Reply,https://www.instagram.com/p/B79cmW0J1SN/
26,elieser_1727,2021-06-09T12:06:37.000Z,🥵,Reply,https://www.instagram.com/p/B79cmW0J1SN/
27,godfreyarera,2021-06-17T12:47:46.000Z,I miss kobe a lot,1 like,https://www.instagram.com/p/B79cmW0J1SN/
28,kdj24_7,2021-06-20T13:25:03.000Z,Omg you look so little by Kobe @michaelbjordan Kob was so big next to you,1 like,https://www.instagram.com/p/B79cmW0J1SN/
29,edmilson19123,2021-06-20T14:21:46.000Z,❤️🔥,Reply,https://www.instagram.com/p/B79cmW0J1SN/
30,antisocalx,2021-06-20T17:33:01.000Z,R I P kobe and chadwick/ black Panther but I didn’t know that was you the hold time,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
31,amaliahughes8,2021-06-20T19:58:15.000Z,A little shorter ha hav🙌,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
32,playboitoe,2021-06-25T07:21:16.000Z,Best 2k ever made,10 likes,https://www.instagram.com/p/B79cmW0J1SN/
33,shakiemjj2001,2021-06-27T16:53:36.000Z,🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾,1 like,https://www.instagram.com/p/B79cmW0J1SN/
34,kimlibanio,2021-07-07T05:07:09.000Z,❤️🙏,Reply,https://www.instagram.com/p/B79cmW0J1SN/
35,von__o,2021-07-09T22:19:37.000Z,🤍,1 like,https://www.instagram.com/p/B79cmW0J1SN/
36,omgitsdae_,2021-05-16T16:26:32.000Z,Best year to play 2K,12 likes,https://www.instagram.com/p/B79cmW0J1SN/
37,nexxx1,2021-05-19T09:48:21.000Z,🗣Mamba 4Ever 💛💜🖤❤❤💯👌🏿🙏🏿🙏🏿😔😇😎 @michaelbjordan,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
38,tar.iq315,2021-05-19T21:15:30.000Z,🔥😂,Reply,https://www.instagram.com/p/B79cmW0J1SN/
39,drcooleen,2021-05-20T17:18:49.000Z,😢😢,Reply,https://www.instagram.com/p/B79cmW0J1SN/
40,ceadams1357,2021-05-23T03:27:37.000Z,I wasn’t much of a fan of basketball but I do miss Kobe. 😢❤️,4 likes,https://www.instagram.com/p/B79cmW0J1SN/
41,d3nggo,2021-05-24T15:51:02.000Z,This was 2K17 🤦🏾,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
42,mjay_the_goat,2021-05-27T03:21:20.000Z,Rip the legend Kobe Bean Bryant 🙏,4 likes,https://www.instagram.com/p/B79cmW0J1SN/
