,comment,TOXICITY
8272,👎👎👎👎👎👎,1
8545,Best day!!!! 🙌🏼 And end to all his 💩,1
10369,🤮🤢,1
10473,"Caitlyn You're the ugliest man/woman alive. Theres nothing feminine, or attractive about you.🐷",1
10545,My god his legs look disgusting 🤢,1
10576,💀🤢🤢🤢🤢,1
10837,Your just like them another stuck up bitch 🖕🏻,1
11198,I just had a stroke ✊🏿 I cannot wait for you to come to my uncles basement 🍆🐴🏳️‍🌈 #horsemask #transgender #bigblokes,1
11498,Not all woman “take long” to get ready... 👎🏽 I don’t like how real woman are being misrepresented by the agenda #sorrynotsorry,1
11631,Oh my God I just saw a comment that said this man looks 20💀 yeah i guess 20 minutes away from kicking the bucket 😂,1
11634,"I hate you, you’re so disgusting 🤢 why would you do something like that ewww you literally have no brain changing your gender how dumb are you. Freak + worthless twat = you 🤮🤮",1
11656,"@caitlynjenner it’s a good to see you I’m the British press but honestly the @dailymail are a super bad paper/magazine/online account. They totally dislike our community, step away from them please🖕🏻🤛🏻💖 xx",1
11750,👍👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Yu still like like a man and yu still are a man 👨,1
11806,FUCK HIM/HER... yes I said it ☠️ he’s \ she’s too old for that shit. “THOSE KARDASHIAN RELATIVES” you mean your “DAUGHTERS “,1
11854,🙄🖕,1
11862,The only way you can get in magazines or is if you talk about the Kardashian’s 🤢 is a shame you use them for fame and publicity,1
12055,🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,1
12062,😷😷👹👶👶👶👨‍🦳👨‍🦳🖕🖕,1
12177,cailyn looks 🤢,1
12294,He’s a muaddddd ting 🍆,1
12805,👎,1
12853,U r such a gay motherfucker😟🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿💪🏼🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿,1
12859,😖🤮🤮🤮🤮🤮💩,1
12983,🍆hehe u like penis 🍆,1
13053,At least one did something useful and kept his balls and dic% the other one just did it for fame😁🤣🤣🤢,1
14240,🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,1
14404,😍 Can't wait to see 🥑🍆🥒🍎🍓🍄 next year,1
14559,You look ROUGH 🤢🤢,1
14610,You like you have the plague plus coronavirus plus sars plus mers plus cancer plus mad cow disease all mixed in one. 🤢🤢🤢🤢🤢🤢🤢,1
14763,This photo is just so wrong 🤢,1
14981,wen ppl think its a good idea to get a sec change until they start aging like a man 💀😭,1
15004,What the heck😂😂 Bruce is melting 🤢🤮🤮,1
15026,What in the actual F?!?! 🤣🤣🤣🤣💀💀💀💀💀,1
15491,🍆💦👩‍🦳,1
15680,"Omg Bruce, you look like 💩",1
16406,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,1
16480,Imagine your daughters exploiting their workers for profit. 🤡 #payup,1
16926,KANYE is a clown🤡 trying to sell an album...he's not mentally ill..and if he is @kimkardashian @krisjenner need to get him in the hospital for a psychiatric hold.,1
16929,🤢🤢🤢🤮,1
17096,🤢 just a dude in a 👗,1
17973,🙌❤️❤️I love you 🖕,1
17983,Explain how you go from winning gold medals to not know if you sit down or stand up too piss. 🤢,1
18017,Oof only 45 followers that rough🤢🤮,1
18187,🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 I like both yo daughters tho,1
22790,you are a MAN you cannot hidden that 🤮🤮👎,1
26729,Oh boy! Thanks for the heads up for what’s going to “happen soon!” I wonder which false 🏴‍☠️ event will ensue first hmm!! Are you freaks even human or are you  really 🐍?,1
27003,"Damn, 2020 is coming for you sis 🐍 LOL",1
30161,"HEY ELLIE, JUST SAW YOUR POLITICAL SHOW WAS ON &amp; I JUST TURNED 👎🏻 y o u 👈🏻. OFFF!!!!!!!!!!",1
31697,Then How we may know what she said 🙄.. We spent 1 min of our life to have a beep in the end 👎👎,1
750431,@Inevitable_ET So the want to micro chip out Black America citizens first so you can brainwash themThe Gates are Evil people. Bill Gates doesn’t even have a degree in medicine. 😡😡😡 Americans don’t want your vaccine. You belong in jail.,1
146233,🌺❤️😍,0
628409,All the way Joe!!!! Nothing less 👍👍,0
144360,❤️❤️❤️❤️❤️❤️,0
661126,❤❤❤,0
27228,@bbfskier this little guy is hilarious 😂❤️,0
18471,RFR INSTANT 💓🧚🏼‍♀️💓💓🔥💓💓🔥🔥,0
495307,Sweet❤️,0
122765,🔥🔥🔥🤟🤟🤟🤟🤟🤟🤟🤟,0
86682,💖💖,0
171891,We all love YOU 😘😘😘,0
9786,Yay! 😍,0
1062855,Queeriness! 🌈🌈🌈,0
317645,The bang 🙃 I need the old Nicki bang back! Love you tho 😍👑,0
176921,🙌🙌🙌,0
513612,Today i dream that i see u and u are my bff its just a dream but that how much i adore u😭💖,0
495524,💜💜💜💜💜💜,0
937862,I was cackling!!! The banana char is just-  😭😭😭😭 honestly these people are really creative for thinking of that.,0
773253,"@RepGiveBack @TSwiftIsMyIdo1 @vkuznetsova13 thank you for doing this! i followed them ever since ♡ my fave song is betty ^-^ coincidence that i have my nickname as well (it means a lot to me as a swiftie 🤣) even tho it's james' pov and he's a cheater, i just love how miss taylor swift bring back teenage love concepts ❤",0
553025,😘😘😘😘😘,0
88547,✨😍💖🔥💫🏳️‍🌈🌌☄️🌠❤️🧡💛💚💙💜,0
32144,❤️Yes yes totally absolute twitch,0
25375,😂 I actually thought the internet was talking to me xoxo I love Ellen!!!!,0
991855,💜💗💜puppies!💗💜💗😍😍😍,0
395226,🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️✊🏿,0
528503,🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕,0
397433,👑 🔥😍,0
668575,Just Beautiful! Brought me to tears! ❤️,0
1190533,🤝🙌🙌🙌🙏❤💘💕💞❤💘💕💞🙂,0
103707,🍕🍕🍕🍕🍕🍕🍕🍕,0
657506,😭😭😭😭😭😭♥️♥️♥️😭♥️♥️♥️♥️♥️cuteness,0
445491,"Thank you for your love, generosity and giving spirit. I heard about what you did in Kroger’s from the shade room. You’re always doing awesome acts of kindness. Again thank you! I’m a neighbor of yours being I just moved to Oakland City off of Avon. Hope to meet you one day. I just had to comment and say thank you for all you have done and all you are doing. May GOD continue to bless you! ❤️❤️❤️❤️",0
271774,💗💗💗💗💗💗💗💗💗💗,0
282584,Love it💖,0
472559,So proud to be Korean too!👍👏👏,0
351014,👏👏👏💕💕💕,0
335119,Yes ma'am😘😍💋🔥🔥🔥,0
1178004,I just love this commercial 🥰🤗🥰🤗🥰,0
562680,❤️❤️❤️❤️❤️❤️❤️❤️naturelle 😍😍😍😍😍😍,0
483749,Absolutely stunning Maia! 💕👑,0
88398,❤️🧡💛💚💙💜,0
853283,The best youtuber ever 😎,0
1263936,Beauttttiiiffffulll  😭❤,0
119922,feature with 69 on the album 🔥🔥🔥,0
663401,Love ❤️ Love testable talks !! That’s what’s real... thank you 🙏🏻 gracias ,0
482516,"I really really reaaaallly love y’all 😭 not only talented, but humble and pure at heart",0
617382,Nice shot @rorykramer 🔥,0
484099,Congraaaaaatttttttttssssss 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,0
1224480,This was a nice reunion. Only thing that&#39;s missing is uncle Phil. RIP man.We miss you 😢😢😢,0
582730,Slay 💕,0
1137071,THIS SAID LESBIAN RIGHTS 🥰🏳️‍🌈,0
