,comment,TOXICITY,TOXICITY_bin
0,,,
1,Best day!!!!  And end to all his ,0.13882354,0.0
2,,,
3,"Caitlyn You're the ugliest man/woman alive. Theres nothing feminine, or attractive about you.",0.884926,1.0
4,My god his legs look disgusting ,0.8355208,1.0
5,,,
6,Your just like them another stuck up bitch ,0.9658555,1.0
7,I just had a stroke  I cannot wait for you to come to my uncles basement  #horsemask #transgender #bigblokes,0.6318388,1.0
8,Not all woman “take long” to get ready...  I don’t like how real woman are being misrepresented by the agenda #sorrynotsorry,0.31089434,0.0
9,Oh my God I just saw a comment that said this man looks 20 yeah i guess 20 minutes away from kicking the bucket ,0.46358138,0.0
10,"I hate you, you’re so disgusting  why would you do something like that ewww you literally have no brain changing your gender how dumb are you. Freak + worthless twat = you ",0.95932037,1.0
11,"@caitlynjenner it’s a good to see you I’m the British press but honestly the @dailymail are a super bad paper/magazine/online account. They totally dislike our community, step away from them please xx",0.3649631,0.0
12,Yu still like like a man and yu still are a man ,0.36404836,0.0
13,FUCK HIM/HER... yes I said it  he’s \ she’s too old for that shit. “THOSE KARDASHIAN RELATIVES” you mean your “DAUGHTERS “,0.98781514,1.0
14,,,
15,The only way you can get in magazines or is if you talk about the Kardashian’s  is a shame you use them for fame and publicity,0.2629824,0.0
16,,,
17,,,
18,cailyn looks ,0.06089303,0.0
19,He’s a muaddddd ting ,,
20,,,
21,U r such a gay motherfucker,0.9962371,1.0
22,,,
23,hehe u like penis ,,
24,At least one did something useful and kept his balls and dic% the other one just did it for fame,0.8239799,1.0
25,,,
26, Can't wait to see  next year,0.059778515,0.0
27,You look ROUGH ,0.16613284,0.0
28,You like you have the plague plus coronavirus plus sars plus mers plus cancer plus mad cow disease all mixed in one. ,0.61441,1.0
29,This photo is just so wrong ,0.16021885,0.0
30,wen ppl think its a good idea to get a sec change until they start aging like a man ,0.34130788,0.0
31,What the heck Bruce is melting ,0.5176791,1.0
32,What in the actual F?!?! ,0.13270725,0.0
33,,,
34,"Omg Bruce, you look like ",0.09671519,0.0
35,,,
36,Imagine your daughters exploiting their workers for profit.  #payup,0.18917012,0.0
37,KANYE is a clown trying to sell an album...he's not mentally ill..and if he is @kimkardashian @krisjenner need to get him in the hospital for a psychiatric hold.,0.7688184,1.0
38,,,
39, just a dude in a ,0.082903326,0.0
40,I love you ,0.05566643,0.0
41,Explain how you go from winning gold medals to not know if you sit down or stand up too piss. ,0.6228709,1.0
42,Oof only 45 followers that rough,0.10840975,0.0
43, I like both yo daughters tho,0.14313418,0.0
44,you are a MAN you cannot hidden that ,0.5765844,1.0
45,Oh boy! Thanks for the heads up for what’s going to “happen soon!” I wonder which false  event will ensue first hmm!! Are you freaks even human or are you  really ?,0.5876557,1.0
46,"Damn, 2020 is coming for you sis  LOL",0.794439,1.0
47,"HEY ELLIE, JUST SAW YOUR POLITICAL SHOW WAS ON &amp; I JUST TURNED  y o u . OFFF!!!!!!!!!!",0.6664165,1.0
48,Then How we may know what she said .. We spent 1 min of our life to have a beep in the end ,0.08919174,0.0
49,@Inevitable_ET So the want to micro chip out Black America citizens first so you can brainwash themThe Gates are Evil people. Bill Gates doesn’t even have a degree in medicine.  Americans don’t want your vaccine. You belong in jail.,0.6007586,1.0
50,,,
51,All the way Joe!!!! Nothing less ,0.121746264,0.0
52,,,
53,,,
54,@bbfskier this little guy is hilarious ,0.44387496,0.0
55,RFR INSTANT ,0.07027979,0.0
56,Sweet,0.053898856,0.0
57,,,
58,,,
59,We all love YOU ,0.042818423,0.0
60,Yay! ,0.06618038,0.0
61,Queeriness! ,0.11280808,0.0
62,The bang  I need the old Nicki bang back! Love you tho ,0.10649668,0.0
63,,,
64,Today i dream that i see u and u are my bff its just a dream but that how much i adore u,0.1332882,0.0
65,,,
66,I was cackling!!! The banana char is just-   honestly these people are really creative for thinking of that.,0.28055793,0.0
67,"@RepGiveBack @TSwiftIsMyIdo1 @vkuznetsova13 thank you for doing this! i followed them ever since  my fave song is betty ^-^ coincidence that i have my nickname as well (it means a lot to me as a swiftie ) even tho it's james' pov and he's a cheater, i just love how miss taylor swift bring back teenage love concepts ",0.27095324,0.0
68,,,
69,,,
70,Yes yes totally absolute twitch,0.15477477,0.0
71, I actually thought the internet was talking to me xoxo I love Ellen!!!!,0.041886467,0.0
72,puppies!,0.15768158,0.0
73,,,
74,,,
75, ,0.059441123,0.0
76,Just Beautiful! Brought me to tears! ,0.074618034,0.0
77,,,
78,,,
79,cuteness,0.05171296,0.0
80,"Thank you for your love, generosity and giving spirit. I heard about what you did in Kroger’s from the shade room. You’re always doing awesome acts of kindness. Again thank you! I’m a neighbor of yours being I just moved to Oakland City off of Avon. Hope to meet you one day. I just had to comment and say thank you for all you have done and all you are doing. May GOD continue to bless you! ",0.056251477,0.0
81,,,
82,Love it,0.051916245,0.0
83,So proud to be Korean too!,0.0812141,0.0
84,,,
85,Yes ma'am,0.040863913,0.0
86,I just love this commercial ,0.0590218,0.0
87,naturelle ,,
88,Absolutely stunning Maia! ,0.13010587,0.0
89,,,
90,The best youtuber ever ,0.05366442,0.0
91,Beauttttiiiffffulll  ,0.26023608,0.0
92,feature with 69 on the album ,0.18034275,0.0
93,Love  Love testable talks !! That’s what’s real... thank you  gracias ,0.07533054,0.0
94,"I really really reaaaallly love y’all  not only talented, but humble and pure at heart",0.18377252,0.0
95,Nice shot @rorykramer ,0.32355183,0.0
96,Congraaaaaatttttttttssssss ,0.19443455,0.0
97,This was a nice reunion. Only thing that&#39;s missing is uncle Phil. RIP man.We miss you ,0.103949614,0.0
98,Slay ,0.6644627,1.0
99,THIS SAID LESBIAN RIGHTS ,0.794439,1.0
