,comment,TOXICITY,TOXICITY_bin
0,👎👎👎👎👎👎,0.4470664,0.0
1,Best day!!!! 🙌🏼 And end to all his 💩,0.66488713,1.0
2,🤮🤢,0.07516103,0.0
3,"Caitlyn You're the ugliest man/woman alive. Theres nothing feminine, or attractive about you.🐷",0.88537717,1.0
4,My god his legs look disgusting 🤢,0.8444105,1.0
5,💀🤢🤢🤢🤢,0.30150938,0.0
6,Your just like them another stuck up bitch 🖕🏻,0.9327292,1.0
7,I just had a stroke ✊🏿 I cannot wait for you to come to my uncles basement 🍆🐴🏳️‍🌈 #horsemask #transgender #bigblokes,0.6340755,1.0
8,Not all woman “take long” to get ready... 👎🏽 I don’t like how real woman are being misrepresented by the agenda #sorrynotsorry,0.31424528,0.0
9,Oh my God I just saw a comment that said this man looks 20💀 yeah i guess 20 minutes away from kicking the bucket 😂,0.49621162,0.0
10,"I hate you, you’re so disgusting 🤢 why would you do something like that ewww you literally have no brain changing your gender how dumb are you. Freak + worthless twat = you 🤮🤮",0.95510584,1.0
11,"@caitlynjenner it’s a good to see you I’m the British press but honestly the @dailymail are a super bad paper/magazine/online account. They totally dislike our community, step away from them please🖕🏻🤛🏻💖 xx",0.32629195,0.0
12,👍👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Yu still like like a man and yu still are a man 👨,0.532092,1.0
13,FUCK HIM/HER... yes I said it ☠️ he’s \ she’s too old for that shit. “THOSE KARDASHIAN RELATIVES” you mean your “DAUGHTERS “,0.98468083,1.0
14,🙄🖕,0.15123835,0.0
15,The only way you can get in magazines or is if you talk about the Kardashian’s 🤢 is a shame you use them for fame and publicity,0.2643014,0.0
16,🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,,
17,😷😷👹👶👶👶👨‍🦳👨‍🦳🖕🖕,,
18,cailyn looks 🤢,0.15338443,0.0
19,He’s a muaddddd ting 🍆,,
20,👎,0.12161675,0.0
21,U r such a gay motherfucker😟🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿💪🏼🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿,0.99280363,1.0
22,😖🤮🤮🤮🤮🤮💩,0.53490317,1.0
23,🍆hehe u like penis 🍆,,
