,username,datetime,comment,likes,url
0,zrmanningrn,2020-01-26T14:20:29.000Z,Miss seeing you and @alexshibutani on the ice here in Greensboro. It’s just not the same without the @shibsibs . Hope you are healing well.,Reply,https://www.instagram.com/p/B7w6fNyABcm/
1,dianeshumway1986,2020-01-26T15:46:02.000Z,I was thinking about you two last night as my mom and I watched nationals.  You are in our thought and prayers.  Sending good vibes always 💕,Reply,https://www.instagram.com/p/B7w6fNyABcm/
2,karin_yuriandnaru331,2020-01-26T16:56:37.000Z,🌄HAPPY NEW YEAR!!🌇2020🌈,Reply,https://www.instagram.com/p/B7w6fNyABcm/
3,benjaminmotta,2020-01-26T16:56:42.000Z,Nice 📸!!!,Reply,https://www.instagram.com/p/B7w6fNyABcm/
4,lorileung9678,2020-01-26T17:31:45.000Z,"Slow and steady wins the race. Just keep her mind occupied and slowly get back to skating. She will be fine 😘. From a kidney cancer survivor, we are strong.",Reply,https://www.instagram.com/p/B7w6fNyABcm/
5,ferreiraleitebeatriz,2020-01-26T18:21:57.000Z,🙏🏻🙏🏻🙏🏻🙌🏼🙌🏼💞💞😘,Reply,https://www.instagram.com/p/B7w6fNyABcm/
6,jyfigure,2020-01-26T19:48:56.000Z,A warrior 💕💕💕💕. Can't wait to see her healthy and steady and on the rink again,Reply,https://www.instagram.com/p/B7w6fNyABcm/
7,tavi_975,2020-01-26T20:47:33.000Z,💪🏻💪🏻,Reply,https://www.instagram.com/p/B7w6fNyABcm/
8,yz.cristal,2020-01-27T01:41:12.000Z,💓💓💓(`･ω･´)9,Reply,https://www.instagram.com/p/B7w6fNyABcm/
9,yoonico__,2020-01-27T02:51:04.000Z,💪🏻💪🏻😊,Reply,https://www.instagram.com/p/B7w6fNyABcm/
10,natsuphotos,2020-01-27T02:53:50.000Z,sending all the love i have to maia and you 💛💛💛💛💛💛💛💛💛💛💛💛💛💛,Reply,https://www.instagram.com/p/B7w6fNyABcm/
11,_linchan25,2020-01-27T07:12:47.000Z,Aww ❤️,Reply,https://www.instagram.com/p/B7w6fNyABcm/
12,st.efania2110,2020-01-27T07:20:36.000Z,I wish .all the best to .Maya all the time im thinking of she.she is a strong girl with a huge heart.i waching all the time they performance of skate on youtube. Alex performance on skate and Maya.they are aswome.hug u maya im where for u and Alex too.🙂🙂🙂🙂❤️❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7w6fNyABcm/
13,jjoshpalma,2020-01-27T12:20:15.000Z,💜💜LOVE💜💜YOU💜💜FIGHTING!!💜💜,Reply,https://www.instagram.com/p/B7w6fNyABcm/
14,cd.er,2020-01-27T15:14:34.000Z,❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7w6fNyABcm/
15,tamaraljacobson,2020-01-27T15:43:38.000Z,Fight it girl 💪🌺it's almost over,Reply,https://www.instagram.com/p/B7w6fNyABcm/
16,natsume72eye,2020-01-27T23:45:01.000Z,マイアさん、氷の上でも空の上で輝いてる✨She is so lovey❤️❤️,Reply,https://www.instagram.com/p/B7w6fNyABcm/
17,faaayon,2020-01-28T01:42:31.000Z,✨,Reply,https://www.instagram.com/p/B7w6fNyABcm/
18,tonchiyan7008,2020-01-28T08:50:54.000Z,素敵な演技をいつも楽しみにしてます。❤️頑張ってね👍,Reply,https://www.instagram.com/p/B7w6fNyABcm/
19,cry65ssy,2020-01-28T12:33:02.000Z,Stay strong dear friends💪🏻🍀💪🏻🍀,Reply,https://www.instagram.com/p/B7w6fNyABcm/
20,wjk_35,2020-01-30T02:36:07.000Z,Praying for you both.,Reply,https://www.instagram.com/p/B7w6fNyABcm/
21,tgnhy,2020-01-30T03:32:44.000Z,💞💞💞💞💞💞💞💞,Reply,https://www.instagram.com/p/B7w6fNyABcm/
22,charmac_ac,2020-02-24T21:10:59.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B7w6fNyABcm/
23,aggelikh_vou,2020-02-05T04:59:05.000Z,You're both shining stars💞,1 like,https://www.instagram.com/p/B8Kxa7CAvIk/
24,how3ech3rish,2020-02-05T05:03:36.000Z,#shiblinggoals 😍 love from Asia,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
25,ahastyra,2020-02-05T05:16:38.000Z,🥺🥺🥺,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
26,ah__ta,2020-02-05T05:33:44.000Z,Who's that dude standing next to her😄,1 like,https://www.instagram.com/p/B8Kxa7CAvIk/
27,ldypurr,2020-02-05T05:50:50.000Z,♥️♥️,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
28,e.l.e.n.v.d,2020-02-05T06:31:04.000Z,AWWWWWW,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
29,e.l.e.n.v.d,2020-02-05T06:31:18.000Z,bruh I wish my brother was this sweet 😭💜💜😂,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
30,e.l.e.n.v.d,2020-02-05T06:31:43.000Z,"My role models, I only wish for the happiest of things for you two 😘",6 likes,https://www.instagram.com/p/B8Kxa7CAvIk/
31,cd.er,2020-02-05T06:36:49.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
32,shibsbringlife,2020-02-05T06:39:15.000Z,💗💗💗,1 like,https://www.instagram.com/p/B8Kxa7CAvIk/
33,dayswithnay_,2020-02-05T07:22:50.000Z,🥺🥺🥺🥺,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
34,semeiyu,2020-02-05T07:30:55.000Z,🥺🥺🥺🥺🥺,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
35,d.naddine,2020-02-05T07:51:47.000Z,😍,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
36,danon94,2020-02-05T09:26:04.000Z,Real brother ❤️❤️❤️🥺,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
37,karolborja,2020-02-05T10:37:45.000Z,"why are you so sweet, i’m melting @alexshibutani 🤧",1 like,https://www.instagram.com/p/B8Kxa7CAvIk/
38,a.frozen.reverie,2020-02-05T10:57:52.000Z,"So, so cute!!!!😍",Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
39,goldsmeier,2020-02-05T12:38:56.000Z,cud i register to shibsibs somewhere? wud love to have both of u as my shining star sibs 😁,1 like,https://www.instagram.com/p/B8Kxa7CAvIk/
40,_virginiayoung_,2020-02-05T12:47:07.000Z,Love you guys ❤️❤️,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
41,ms.jeffersonn,2020-02-05T15:15:03.000Z,uwu,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
42,norarez,2020-02-05T16:14:48.000Z,aww 😭,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
43,sueperchan,2020-02-06T00:07:52.000Z,💕,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
44,isaacklee,2020-02-06T04:14:06.000Z,awwwwww miss ya both,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
45,miss_beccatang,2020-02-06T18:43:35.000Z,Sending well wishes and hoping maia makes a full recovery,Reply,https://www.instagram.com/p/B8Kxa7CAvIk/
46,rickyreyes5296,2019-12-26T04:43:00.000Z,🔥👏🌲☃️Thank you and Merry Christmas!!!,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
47,jaspercays,2019-12-26T05:00:53.000Z,Love you ✨,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
48,ravi.sstarlight96,2019-12-26T05:10:16.000Z,❤️❤️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
49,mikako2002,2019-12-26T05:45:50.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
50,carollikethesongs,2019-12-26T08:23:32.000Z,Thank you and right back at you ❤️❤️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
51,xxsaie,2019-12-26T08:30:40.000Z,❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
52,anycruz2353,2019-12-26T09:48:43.000Z,♥️♥️♥️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
53,geenak3,2019-12-26T10:39:26.000Z,❤️❤️,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
54,joiedemavie330,2019-12-26T10:57:56.000Z,Thanks for the love ❤️ merry Christmas,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
55,lilyxchu_,2019-12-26T15:22:10.000Z,thank you :’) merry christmas 💕,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
56,serenjimini,2019-12-26T19:11:30.000Z,"thank you, i needed this a lot",Reply,https://www.instagram.com/p/B6g8Dqng8SL/
57,ihabelle,2019-12-26T23:06:52.000Z,🙏🙏,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
58,ferreiraleitebeatriz,2019-12-26T23:58:49.000Z,🙏🏻🙏🏻🙏🏻🙏🏻✨😍💞💞😘,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
59,jimblez,2019-12-27T04:07:44.000Z,"thanks man, right back at you",Reply,https://www.instagram.com/p/B6g8Dqng8SL/
60,introrhythms,2019-12-27T04:08:36.000Z,I LOVE U,Reply,https://www.instagram.com/p/B6g8Dqng8SL/
61,k_no_uta,2019-12-27T04:30:25.000Z,"Look there, it came rushing right back at you! 😊",Reply,https://www.instagram.com/p/B6g8Dqng8SL/
