,username,datetime,comment,likes,url
0,jovsalmaydapineda,2020-02-05T05:39:35.000Z,No makeup and no filter needed. 🐽❤️😍👏,Reply,https://www.instagram.com/p/B66x6IGFfna/
1,mylifeoftheblue,2020-02-10T17:13:17.000Z,You’ve immortalized Janet Reno. Good for you 🤩,Reply,https://www.instagram.com/p/B66x6IGFfna/
2,stuck_somewhere,2020-02-21T00:39:58.000Z,So cute,Reply,https://www.instagram.com/p/B66x6IGFfna/
3,officialcharo,2020-02-21T07:54:04.000Z,Verified,5 likes,https://www.instagram.com/p/B66x6IGFfna/
4,el_zorro_negro_,2020-02-25T22:45:54.000Z,😍😍😍😍😍,Reply,https://www.instagram.com/p/B66x6IGFfna/
5,snackypassion,2020-02-29T15:25:15.000Z,My Wifey 💖😯😘,Reply,https://www.instagram.com/p/B66x6IGFfna/
6,nickels5cent_hyo,2020-03-10T06:24:09.000Z,😳👀☺️🗣💯🔥🔥😎🙏🏽👏🏽gb your so lit,Reply,https://www.instagram.com/p/B66x6IGFfna/
7,sir.j.u_m.a,2020-03-26T08:33:30.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B66x6IGFfna/
8,mr.sang8nguyen24,2020-03-27T06:56:42.000Z,Who made my girl angry,Reply,https://www.instagram.com/p/B66x6IGFfna/
9,papii_jj718,2020-04-20T22:35:32.000Z,Is the show over ?,Reply,https://www.instagram.com/p/B66x6IGFfna/
10,vtaylor161,2020-06-02T10:06:36.000Z,🎂🎶🎁🍨🍭🍹,Reply,https://www.instagram.com/p/B66x6IGFfna/
11,wavywinnie92,2020-07-09T00:25:10.000Z,😍😍😍,Reply,https://www.instagram.com/p/B66x6IGFfna/
12,dhustlecontinues900,2020-08-21T13:29:45.000Z,🥶😒😒,1 like,https://www.instagram.com/p/B66x6IGFfna/
13,rls1123rls,2020-09-10T00:11:45.000Z,✌😁🥰🌷🌷,1 like,https://www.instagram.com/p/B66x6IGFfna/
14,irishbott,2020-10-26T18:10:07.000Z,That’s your “I’d like my kabob please” face. 😆😆😀,Reply,https://www.instagram.com/p/B66x6IGFfna/
15,tim_colander,2020-11-17T02:54:41.000Z,You are so gorgeous🥰🥰🥰🥰,Reply,https://www.instagram.com/p/B66x6IGFfna/
16,murkwun44npg,2021-02-17T01:53:52.000Z,I freaking luvv me sum you..😍🥰👉🏽🎯👑💙,Reply,https://www.instagram.com/p/B66x6IGFfna/
17,cali_kid_travel,2021-06-03T23:15:14.000Z,Oh you mad?,Reply,https://www.instagram.com/p/B66x6IGFfna/
18,indiefoo,2021-06-10T14:22:06.000Z,💙😍,Reply,https://www.instagram.com/p/B66x6IGFfna/
19,ricky1131963,2021-06-13T05:16:39.000Z,Very beautiful,Reply,https://www.instagram.com/p/B66x6IGFfna/
20,dannytharowprinz,2021-08-03T01:37:43.000Z,🔥,Reply,https://www.instagram.com/p/B66x6IGFfna/
21,dannytharowprinz,2021-08-03T01:38:00.000Z,😂🤪,Reply,https://www.instagram.com/p/B66x6IGFfna/
22,artbymelsie,2021-09-04T19:46:02.000Z,A mood,Reply,https://www.instagram.com/p/B66x6IGFfna/
