,username,datetime,comment,likes,url
0,tan_kaonashi,2020-12-06T16:14:21.000Z,😍😍😍,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
1,hajiasadeye,2020-12-14T18:57:35.000Z,Love🙌😍😍😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
2,boutique.rokh,2021-01-22T14:08:59.000Z,🌌👽,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
3,alvarxlima,2021-02-18T22:18:42.000Z,melhor álbum de todos 🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
4,nzukiiiiiiiii,2021-04-18T18:50:14.000Z,Album's a vibe,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
5,badvibesfvrvro,2021-04-24T14:01:41.000Z,Pls make more erys type music,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
6,rafa_snowball,2021-04-29T12:36:05.000Z,🙌🔥😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
7,j.alejandro812,2021-04-29T14:35:30.000Z,Miss you rebeld child,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
8,kokettjeans,2021-05-04T03:25:36.000Z,💗,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
9,mondina87,2021-05-05T19:31:50.000Z,Bella musica,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
10,tropicalpoppin,2021-05-14T19:16:25.000Z,i miss erys,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
11,ryanjosephwatson,2021-06-20T23:57:14.000Z,the greatest,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
12,orangjuzz,2021-07-11T11:21:19.000Z,syre suits in xiamen,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
13,yagob__mosavi,2021-07-16T17:35:33.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
14,dejean_tarin,2021-08-22T09:20:09.000Z,❤️🙌,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
15,thelostalleycat,2021-08-30T05:30:00.000Z,This would have been way cooler if he gave credit to all the people who were a part of this project in the caption.,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
16,amandaaamn_,2021-08-31T18:21:08.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
17,luca_j_r,2021-09-02T22:36:54.000Z,Go back to this era please,3 likes,https://www.instagram.com/p/BzhWoYegjIJ/
18,rodriguesdressa,2021-09-18T00:04:07.000Z,sinceramente MUITA ACLAMAÇÃO,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
19,_svevadeangelis_,2021-09-18T00:05:51.000Z,😍😍,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
20,sabrina_rmdhni20,2021-09-29T01:50:55.000Z,cool editing bro 👍🏻👍🏻🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
21,sanjiv_choudhary_sikar,2021-10-06T17:48:20.000Z,🔥❤️❤️,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
22,elainecristine3975,2021-10-12T02:30:19.000Z,😍😍😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
23,rajya_el,2020-08-24T09:28:45.000Z,This is so damn fly 🔥🔥🔥🔥🔥💚,3 likes,https://www.instagram.com/p/BzhWoYegjIJ/
24,rajya_el,2020-08-24T09:30:12.000Z,Is that your sister singing on the track? Going to TIDAL to look at credits...,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
25,dsnique93,2020-09-15T23:25:06.000Z,❤️❤️🔥🔥👏🏾👏🏾,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
26,cristina_ruth,2020-09-27T23:10:51.000Z,"This is some dark stuff. I feel like what these kids have gone through is just beyond creepy. I’m definitely not a fan of Wil &amp; Jada Smith anymore. Have t been for a long time. I feel like the way these kids express themselves is just one big enormous cry for help. And I feel like their parents just kind of left them out in the dust and up against this gigantic industry that all they wanted was to take take take from them. I am a big supporter of Jaden and Willow but I can’t stand their music, it’s sad to me for some reason. Hope &amp; pray they come back.. and I’m sure some day they will.",6 likes,https://www.instagram.com/p/BzhWoYegjIJ/
27,wisdomjackson555,2020-09-28T16:20:01.000Z,😮😮😮😮👏👏,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
28,framesbyfrisby,2020-10-05T17:19:21.000Z,Bro I’m wanting to see the full video but it isn’t up anymore!!!,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
29,jenducknini,2020-10-27T00:26:09.000Z,Jennie like post omggg,6 likes,https://www.instagram.com/p/BzhWoYegjIJ/
30,nachg77,2020-11-12T12:57:04.000Z,How did he do the photo like this ?,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
31,kreza8229,2020-11-12T14:40:49.000Z,Bravo,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
32,arfinadmyntii,2020-11-14T15:08:13.000Z,Miss u ERYS💔😩,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
33,4youbx,2020-11-16T20:13:38.000Z,Song name v,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
34,gb_3am,2020-11-23T02:43:19.000Z,DROP ERYS PT 2,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
35,jaden3hw,2020-11-23T13:11:01.000Z,Algún español que le guste esto?🔥🔥🔥❤️,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
36,danichef80,2020-07-09T13:23:53.000Z,Call me stupid..Call me how you want !!..Wtf it's this?! Art?!! Or treatment for some mental illness?!!,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
37,tinalawrence01,2020-07-09T14:17:22.000Z,@jamix444 @mya.ost 🔥🔥,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
38,laksamana_rin,2020-07-11T02:37:26.000Z,"Why u so pinky, lil boy?? Huh😭",2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
39,justa_ronin,2020-07-12T01:39:43.000Z,📺🕰🧿🌬🍵🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
40,kecr56,2020-07-13T00:17:53.000Z,Release the music videos!!!,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
41,gefreaka,2020-07-15T00:16:07.000Z,@always_naked_stoner,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
