,username,datetime,comment,likes,url
0,verasticker,2020-01-11T11:36:01.000Z,this Korean version of super heroes I like too👍,Reply,https://www.instagram.com/p/B7HidLUASnm/
1,antoniayoshikawa,2020-01-11T12:33:02.000Z,♥️,Reply,https://www.instagram.com/p/B7HidLUASnm/
2,kwag58,2020-01-11T12:48:25.000Z,So cute!,Reply,https://www.instagram.com/p/B7HidLUASnm/
3,nicoledaniels4812,2020-01-11T15:14:00.000Z,WOW DANIEL YOU HAVE THE SAME FACE I know it's cliche to say but I could have picked you out from that picture😍,Reply,https://www.instagram.com/p/B7HidLUASnm/
4,the_real_ason,2020-01-11T16:10:53.000Z,@fromthebronx,1 like,https://www.instagram.com/p/B7HidLUASnm/
5,fromthebronx,2020-01-11T16:26:23.000Z,🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽,1 like,https://www.instagram.com/p/B7HidLUASnm/
6,locatelli.sabrina,2020-01-11T19:55:48.000Z,So cute!!!!😍,Reply,https://www.instagram.com/p/B7HidLUASnm/
7,jimmyhogeek,2020-01-12T03:48:46.000Z,😎 cool .  Where in The Bronx?  I’m a city boy,Reply,https://www.instagram.com/p/B7HidLUASnm/
8,myredminicooper,2020-01-12T16:53:59.000Z,Too cute 😃,Reply,https://www.instagram.com/p/B7HidLUASnm/
9,mccartney720,2020-01-13T03:25:22.000Z,What kind of dog do you have?,Reply,https://www.instagram.com/p/B7HidLUASnm/
10,micki66ser,2020-01-16T07:52:36.000Z,❤️❤️❤️❤️😍😍😍belli belli,Reply,https://www.instagram.com/p/B7HidLUASnm/
11,itsmejenniper,2020-01-18T07:48:02.000Z,Gotta love siblings 🤗,1 like,https://www.instagram.com/p/B7HidLUASnm/
12,cabreraa_wen,2020-01-28T20:54:45.000Z,I love you family😍👏,Reply,https://www.instagram.com/p/B7HidLUASnm/
13,cabreraa_wen,2020-01-28T20:54:51.000Z,Aww❤️,Reply,https://www.instagram.com/p/B7HidLUASnm/
14,hajima79,2020-02-09T02:38:29.000Z,@danieldaekim I just think of the infamous Korean bowl haircut lol 😂,Reply,https://www.instagram.com/p/B7HidLUASnm/
15,sandy25br,2020-03-30T15:06:10.000Z,😍,Reply,https://www.instagram.com/p/B7HidLUASnm/
16,quezada1938,2020-04-08T19:52:50.000Z,"Aaaaawww, 😍😍😍😍",Reply,https://www.instagram.com/p/B7HidLUASnm/
17,concy.borgess,2020-04-23T02:44:40.000Z,♥️that’s cute!!!♥️👏🏼,Reply,https://www.instagram.com/p/B7HidLUASnm/
18,7afa.uspa.34,2020-05-16T14:09:09.000Z,Cutest boy ever,Reply,https://www.instagram.com/p/B7HidLUASnm/
19,shewallin,2020-05-24T07:35:41.000Z,@ruthelenawallin  aaaaww,Reply,https://www.instagram.com/p/B7HidLUASnm/
20,teresaribeirobarbosa,2020-07-19T15:59:27.000Z,❤️,Reply,https://www.instagram.com/p/B7HidLUASnm/
21,rene_roberson,2020-09-15T21:08:46.000Z,💕,Reply,https://www.instagram.com/p/B7HidLUASnm/
22,belajoanita,2020-11-26T13:51:56.000Z,♥️♥️♥️♥️,Reply,https://www.instagram.com/p/B7HidLUASnm/
23,grahamcully,2020-01-18T15:56:32.000Z,Come back to Hawaii five 0 please and bring kono 😁,1 like,https://www.instagram.com/p/B7ZS6H2Jzvz/
24,cristianeferreira653,2020-01-18T16:17:08.000Z,👏🏾👏🏾👏🏾👏🏾🥰🥰🥰,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
25,ripleyandco4,2020-01-18T19:58:42.000Z,So cute @danieldaekim,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
26,skylerbaje246,2020-01-19T15:58:32.000Z,You're hair🤘🤘🤘🤘🤘🤘🤘,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
27,hajima79,2020-02-09T02:37:33.000Z,Great photo!!,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
28,nutmeg2236,2020-03-15T21:41:13.000Z,Love love love the hair 😂😂😂,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
29,imafolkdancer,2020-03-21T10:58:33.000Z,"OMG, adorable!",Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
30,annraymum,2020-03-22T22:18:39.000Z,So cute kids. Lucky you Dan,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
31,justusjewelz,2020-03-23T16:05:19.000Z,Beautiful and blessed!🙏🏽❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
32,lekismore,2020-03-25T14:41:59.000Z,😂 i feel u,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
33,makepagirl,2020-03-30T11:48:15.000Z,Sweet bois! Mine is almost 37! I gave the hawaiian filipino side of ohana the 1st blonde haired green eyed bebe! 😂,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
34,pennyfarmer,2020-03-30T12:11:12.000Z,Look at all ur hair- where did it go😂👍❤️🇨🇦,2 likes,https://www.instagram.com/p/B7ZS6H2Jzvz/
35,sandy25br,2020-03-30T15:06:00.000Z,So cute💕,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
36,jimsteele2012,2020-03-30T15:21:56.000Z,"Damn, bro’ you had an Afro that day! Well done.",Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
37,ramonatomatos,2020-04-02T07:21:02.000Z,Gorgeous boys,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
38,karinaferrero_,2020-04-09T19:03:31.000Z,😂😂😂,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
39,belajoanita,2020-04-21T18:00:00.000Z,Lindos filhotes❤️❤️❤️,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
40,atteneriarmasglez080,2020-06-09T20:49:28.000Z,😂😂😂😂😂😂😂😂😂,1 like,https://www.instagram.com/p/B7ZS6H2Jzvz/
41,teresaribeirobarbosa,2020-07-19T15:58:56.000Z,😂😂😂,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
42,vedsof1,2020-08-05T05:04:03.000Z,🌞🌈💙,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
43,karin.wolf.355,2020-08-12T00:51:49.000Z,Süß,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
44,dcontre.contact,2021-02-16T22:23:19.000Z,You are blessed Daniel!❤️,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
45,aprilledgerwoodrobinson,2021-04-03T00:23:03.000Z,Hilarious!,Reply,https://www.instagram.com/p/B7ZS6H2Jzvz/
46,instahashi,2020-01-09T10:42:18.000Z,You could use a towel...,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
47,cooke.rhonda,2020-01-09T10:54:05.000Z,😂😂😂😍Nice pic,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
48,crystal.beard4boiz,2020-01-09T13:33:30.000Z,😂😂😂😂😂😂😂😂😂@danieldaekim  you still look great. All i did so far this year Is workout how to raised my fork faster. 🤣🤣🤣🤣🤣🤣🤣,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
49,maria.cf.rodrigues,2020-01-09T15:10:50.000Z,👍👏👏👏😘😘,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
50,leo.durd,2020-01-09T15:53:33.000Z,😁😁😁😭😭😭,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
51,kelly.e.crawford,2020-01-09T16:04:10.000Z,Drenched in sweat! Go get ‘em!,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
52,_phoebeurmston,2020-01-09T16:23:52.000Z,The caption hahahah honesty is the best,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
53,lexlexlulu,2020-01-09T16:25:42.000Z,Thank you for skipping the motivational message 😉 comedy wins,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
54,misterhoonlee,2020-01-09T19:51:04.000Z,Why does it always get harder. WHY.,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
55,strongandlovely_72,2020-01-09T19:53:58.000Z,Now there's some honesty...,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
56,lien_audenaert,2020-01-09T20:25:46.000Z,😍😍😍,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
57,blackbird_2020,2020-01-09T20:27:17.000Z,😂😂😂... Brilliant!!!,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
58,bbrgnbyr,2020-01-09T20:51:36.000Z,You were just giving it your all.,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
59,samanthalockwood,2020-01-09T21:41:16.000Z,Cute dress,1 like,https://www.instagram.com/p/B7EZ1FlAq1H/
60,cazza_georgeson82,2020-01-09T23:29:46.000Z,@danieldaekim I wish I had enough motivation to actually get me to the gym 😂😂 xx,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
61,liz_loves_808,2020-01-10T06:57:03.000Z,Please take that dress off... lol❤️🤙🏽🌈😎💋,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
62,miss_kim_h,2020-01-10T06:57:27.000Z,I like your dress... 😉,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
63,valerie_a_daspit,2020-01-11T06:06:15.000Z,rofl 🤣,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
64,bulldognamedmorty,2020-02-10T08:00:58.000Z,😂😂😂 Lol!,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
65,tkomomfitness,2020-03-04T08:50:42.000Z,🔥🔥🔥🔥🔥🔥,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
66,bumble.ninsy,2020-04-04T04:15:17.000Z,Looking this good drenched in yr make shift dress is really unfair 😆💖💖💖,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
67,betina1n,2020-06-17T17:13:44.000Z,Omg you look like you are 20,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
68,betina1n,2020-06-17T17:13:50.000Z,😍,Reply,https://www.instagram.com/p/B7EZ1FlAq1H/
69,luh.furtado,2020-02-04T21:42:06.000Z,👏❤️🇧🇷,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
70,macermonica,2020-02-04T21:43:21.000Z,Yasssss! 🔥,1 like,https://www.instagram.com/p/B8KEz_HgEk1/
71,filipposerci,2020-02-04T22:02:40.000Z,when you go back to five-o? 🙏🏻,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
72,schleifcarmen,2020-02-04T22:09:56.000Z,❤️😊👍,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
73,collectiondreamdoll,2020-02-04T22:14:14.000Z,"Very, beautiful..😍💕👍",Reply,https://www.instagram.com/p/B8KEz_HgEk1/
74,hlindagunn,2020-02-04T22:21:57.000Z,Are they you’r ohana?,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
75,nbmusicofficial21,2020-02-04T23:08:07.000Z,Hey @danieldaekim How have you not been cast as Namor in an Avengers movie yet? You'd be amazing in that role!,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
76,aureamachado9,2020-02-04T23:15:51.000Z,Buenos noches!!!,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
77,concy.borgess,2020-02-05T00:18:20.000Z,Congradulation !!! Beautiful  guys♥️😍 🇧🇷 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼💋,1 like,https://www.instagram.com/p/B8KEz_HgEk1/
78,luh.furtado,2020-02-05T00:19:01.000Z,👏❤️🇧🇷,1 like,https://www.instagram.com/p/B8KEz_HgEk1/
79,thaysezhang_br_loveasians,2020-02-05T00:52:18.000Z,TERRIFIC,2 likes,https://www.instagram.com/p/B8KEz_HgEk1/
80,emiliede_ravin,2020-02-05T05:42:20.000Z,Verified,4 likes,https://www.instagram.com/p/B8KEz_HgEk1/
81,granule_nightmare,2020-02-05T06:01:40.000Z,👍👍💙,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
82,parya1984,2020-02-05T08:17:00.000Z,"Jast ""lost""😊",Reply,https://www.instagram.com/p/B8KEz_HgEk1/
83,amiahlove9,2020-02-05T14:29:46.000Z,🔥❤️,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
84,alinajustiniano,2020-02-05T22:40:38.000Z,"danieldaekim te amoooo,  todo sois lindos😍😍😍❤️❤️😘😘😘",Reply,https://www.instagram.com/p/B8KEz_HgEk1/
85,marianasantos9509,2020-02-06T02:37:44.000Z,Brasil❤️#lindoooooo,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
86,markwillshaw,2020-02-06T06:48:47.000Z,Awesome team!! Well done bringing them together! 😊,Reply,https://www.instagram.com/p/B8KEz_HgEk1/
