,username,datetime,comment,likes,url
0,nouisthere,2021-09-14T08:03:30.000Z,SO EXCITED,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
1,alyssa_disanza_writes,2021-09-16T00:37:49.000Z,Omg you're Vanya?! I thought you looked familiar,3 likes,https://www.instagram.com/p/CHa6KHiHwxF/
2,meowvalgal,2021-09-16T06:45:02.000Z,Portraying a different gender is exactly how acting began,3 likes,https://www.instagram.com/p/CHa6KHiHwxF/
3,makaronithebestt,2021-09-18T01:01:35.000Z,❤️🔥,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
4,0k4yyy_,2021-09-18T05:22:26.000Z,Wheeeen come on !,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
5,mentally.imortal,2021-09-18T20:07:42.000Z,IM GONNA SCREEEAM—,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
6,best.critter.sitter,2021-09-19T23:45:21.000Z,Netflix is for sick people,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
7,salonenkasperi,2021-09-25T10:28:10.000Z,I literally cant wait anymore,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
8,marina_s_a2332,2021-09-28T22:39:23.000Z,Vanya is a Russian male name!,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
9,xo.char.life,2021-09-30T22:44:03.000Z,I just watched the first 2 seasons and i love all the characters and it made me realise i want to be an actor not a doctor (that’s what my family wants) I’m OBSESSED with the show and i can’t wait to see all the great plot and characters in season 3,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
10,thegr8niyah,2021-10-01T03:07:59.000Z,Aye posted on my birthday,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
11,__aliceguinevere,2021-08-19T22:07:07.000Z,😍😍😍😍😍,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
12,moran_natty,2021-08-21T05:30:15.000Z,Quiero mas temporadas😍,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
13,i_ty_el_i,2021-08-21T16:43:47.000Z,👏👏👏👏👏 nossa que maravilha  estava ansiosa por isso . ❤️❤️❤️❤️,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
14,fabisime,2021-08-23T10:23:33.000Z,Woman,4 likes,https://www.instagram.com/p/CHa6KHiHwxF/
15,asherooni11,2021-08-23T16:04:53.000Z,I'm still on season 2 😂 but I'm obsessed with tua!!!,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
16,lara_ibarguren,2021-08-23T16:42:37.000Z,@paloma_galufa,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
17,the.realpresidentputin,2021-08-24T17:12:45.000Z,You're a woman,10 likes,https://www.instagram.com/p/CHa6KHiHwxF/
18,theantiblacknessreader,2021-08-24T18:02:06.000Z,🙌🏾🙌🏾🙌🏾🙌🏾,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
19,liorlamdan,2021-08-28T16:09:02.000Z,"Hi I don't have Netflix yet, but somehow survived the previous lockdown... so Vanya is going to be like before?",4 likes,https://www.instagram.com/p/CHa6KHiHwxF/
20,samira.camposs,2021-08-29T00:08:47.000Z,Perfeito.,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
21,samira.camposs,2021-08-29T00:09:00.000Z,Perfect,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
22,2327pacific,2021-08-30T06:41:52.000Z,👏🏻👏🏻👏🏻👏🏻,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
23,bruinsracecar,2021-09-03T03:34:09.000Z,Coming October 1st? ?,3 likes,https://www.instagram.com/p/CHa6KHiHwxF/
24,_mikaisabella_,2021-09-03T04:26:42.000Z,🌬🌬🎉🎉🎉,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
25,giselacarrizo12,2021-09-03T13:53:55.000Z,Yesssss,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
26,agustingarcia8170,2021-09-04T04:02:57.000Z,👏👏👏,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
27,itsthatgurl.fxy__,2021-09-04T22:38:45.000Z,Capital G for God please,6 likes,https://www.instagram.com/p/CHa6KHiHwxF/
28,ajhuachoandres,2021-09-08T05:36:14.000Z,Yeessssssssssss 😢🥳🥳🥳,4 likes,https://www.instagram.com/p/CHa6KHiHwxF/
29,______nabeel______,2021-08-02T18:16:08.000Z,Eliot? Vanya a boy 😅,6 likes,https://www.instagram.com/p/CHa6KHiHwxF/
30,masterdisaster,2021-08-03T21:23:58.000Z,So will white violin be trans then?,5 likes,https://www.instagram.com/p/CHa6KHiHwxF/
31,elliotdeoliveira,2021-08-04T03:54:48.000Z,Haha smart I get ur reference,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
32,sacanepa,2021-08-05T13:37:02.000Z,When???,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
33,luv2kuddle,2021-08-06T17:28:37.000Z,"Congratulations! Looking forward to this season! Thank you for all that you have contributed and will contribute to the world! It’s a better place for having strong people, like yourself, in it",5 likes,https://www.instagram.com/p/CHa6KHiHwxF/
34,rihannakelly_12_xx,2021-08-07T05:05:47.000Z,Oh my god 😮,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
35,ambertjeee51,2021-08-07T10:16:48.000Z,When Comes season 3 out?,4 likes,https://www.instagram.com/p/CHa6KHiHwxF/
36,robertuller,2021-08-09T14:37:43.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
37,thebiggay_alyciajasmin,2021-08-14T07:00:51.000Z,cant wait bestie,3 likes,https://www.instagram.com/p/CHa6KHiHwxF/
38,missesmee,2021-08-14T10:59:52.000Z,I would like to see the show! Someone can tell me the name? Thk u,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
39,azucena_.ag,2021-08-14T20:05:37.000Z,😍,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
40,missesmee,2021-08-14T21:36:33.000Z,Thk u,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
41,chowmeoww99,2021-08-16T22:27:52.000Z,For all those wondering how this is going to work out... It's call acting. I'm sure they figured out how to incorporate this change or Elliot is still going to be Vanya. Many other actors have depicted other genders and sexual preferences for a part. It will work out,30 likes,https://www.instagram.com/p/CHa6KHiHwxF/
42,robert.deans.9,2021-08-17T13:26:24.000Z,Can't wait!!🔥🔥,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
43,8nober,2021-08-18T20:44:03.000Z,Yessss🤩🤩🤩🤩,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
44,liubovlovv,2021-07-24T03:49:46.000Z,❤️❤️❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
45,deep_beauty,2021-07-24T21:22:35.000Z,Can’t Wait! Love you Elliot,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
46,cemrenin.hamburgeriiii,2021-07-26T08:58:47.000Z,I LOVE YOU elliot,1 like,https://www.instagram.com/p/CHa6KHiHwxF/
47,anon.ima7451,2021-07-26T14:12:13.000Z,❤️❤️,Reply,https://www.instagram.com/p/CHa6KHiHwxF/
48,gregintheflesh,2021-07-27T00:08:35.000Z,How exactly is this gonna work out??,12 likes,https://www.instagram.com/p/CHa6KHiHwxF/
49,ki_7f,2021-07-27T03:32:37.000Z,When is season3????,3 likes,https://www.instagram.com/p/CHa6KHiHwxF/
50,mrs_pettyjohn,2021-07-29T10:05:35.000Z,Ahhh!!! I love this show so much!! I own the very first comic book and when i heard they were making a show i was so excited!,2 likes,https://www.instagram.com/p/CHa6KHiHwxF/
