,username,datetime,comment,likes,url
0,findslimmy,2020-01-21T04:14:46.000Z,"No repeated, or stolen content. All memes are hand made, original, &amp; involving 69 in someway",1 like,https://www.instagram.com/p/B7kU1irlFe-/
1,mayara_ss3,2020-01-21T04:15:15.000Z,👏👏,1 like,https://www.instagram.com/p/B7kU1irlFe-/
2,alice_kane_offical_fanpage_,2020-01-21T04:15:18.000Z,Love it ken,Reply,https://www.instagram.com/p/B7kU1irlFe-/
3,aaronlee52,2020-01-21T04:19:23.000Z,Your my favorite Asian @kenjeong,Reply,https://www.instagram.com/p/B7kU1irlFe-/
4,rockelio_69,2020-01-21T04:21:22.000Z,Sudoku,Reply,https://www.instagram.com/p/B7kU1irlFe-/
5,nolove_wsherrell83473,2020-01-21T04:43:36.000Z,👏👏👏👏❤️,Reply,https://www.instagram.com/p/B7kU1irlFe-/
6,sps60,2020-01-21T06:16:14.000Z,Looks like you were peeking 👀,Reply,https://www.instagram.com/p/B7kU1irlFe-/
7,eightyfirstave,2020-01-21T06:39:09.000Z,🙌🙌🙌,Reply,https://www.instagram.com/p/B7kU1irlFe-/
8,joeypadron,2020-01-21T06:58:14.000Z,You did great as a guest on the show tonight.,Reply,https://www.instagram.com/p/B7kU1irlFe-/
9,aneetkandola,2020-01-21T07:13:12.000Z,Cute,Reply,https://www.instagram.com/p/B7kU1irlFe-/
10,steiner_52,2020-01-21T07:20:17.000Z,"Loved the show! You make me laugh, @kenjeong",Reply,https://www.instagram.com/p/B7kU1irlFe-/
11,chris_edin_positive,2020-01-21T10:12:00.000Z,Mr Jeong melting :D,Reply,https://www.instagram.com/p/B7kU1irlFe-/
12,live19125,2020-01-21T11:52:35.000Z,💘💗💓💗💓,1 like,https://www.instagram.com/p/B7kU1irlFe-/
13,chadcantwell5,2020-01-21T11:54:04.000Z,We love you Ken!,Reply,https://www.instagram.com/p/B7kU1irlFe-/
14,rd_collins,2020-01-21T15:34:05.000Z,KJ samich,Reply,https://www.instagram.com/p/B7kU1irlFe-/
15,thegoldenboy68,2020-01-21T17:33:02.000Z,😂,Reply,https://www.instagram.com/p/B7kU1irlFe-/
16,aprilooshowers,2020-01-21T22:57:26.000Z,@kenjeong we need another big hitta from you. You are a hilarious Doctor lol,2 likes,https://www.instagram.com/p/B7kU1irlFe-/
17,butterfly2745,2020-01-21T14:34:58.000Z,🤣🤣🤣,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
18,amosacomedy,2020-01-21T15:43:21.000Z,Great clip! Come to Madison for the second leg of your tour!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
19,littlebabysunshine43,2020-01-21T15:58:16.000Z,Hilarious 😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
20,mattshields12,2020-01-21T16:06:50.000Z,Definitely one of my favorite actors! Such a funny guy!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
21,moira_hayden,2020-01-21T16:29:01.000Z,@niki_crockett,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
22,shannonholtzclaw,2020-01-21T16:45:56.000Z,“I’m a weak man Jimmy” 😂😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
23,_enri.quez_,2020-01-21T16:50:53.000Z,🤣🤣,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
24,bethbowenart,2020-01-21T16:55:08.000Z,Hilarious!🙌🏻,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
25,trinetracie,2020-01-21T18:16:06.000Z,You're just the best 🤣,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
26,the_ashleigh_michele_,2020-01-21T18:37:11.000Z,I love your face at the end!!! 🙌🏼,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
27,naes_83,2020-01-21T20:56:48.000Z,@kellyjade24x2 😂,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
28,alexiceyyy,2020-01-22T00:27:19.000Z,😂😂😂😂😂😂😂😂😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
29,photo.gio.to,2020-01-22T00:43:53.000Z,You were so funny on Jimmy👍👍,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
30,natalie.rodger,2020-01-22T02:07:59.000Z,@caseyflesch LOL!!!!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
31,rochellejing78,2020-01-22T02:27:40.000Z,😂😂😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
32,baby__einstein,2020-01-22T02:48:31.000Z,"Ken need and deserve a one man show like Fallon, Kimmel, Colbert or Cordon. We need to start a petition for that guys. I would listen to it religiously. ❤️😆",Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
33,kjones1111,2020-01-22T06:27:10.000Z,@k12isl4n,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
34,eightyfirstave,2020-01-22T06:52:22.000Z,Lol you’re a boss 😂✊💪,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
35,leggendario._,2020-01-22T17:17:34.000Z,Day 200 #sixseasonsandamovie,2 likes,https://www.instagram.com/p/B7kpV-Jl8jr/
36,scary_foxtrott,2020-01-23T02:08:47.000Z,Dat face tho!!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
37,quirozzzzzzzzzz,2020-01-23T02:40:45.000Z,Eres el mejor!!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
