,username,datetime,comment,likes,url
0,axnez10969,2020-01-23T06:16:31.000Z,Miss you maia....,Reply,https://www.instagram.com/p/B7mm-XppV9A/
1,trackwrex,2020-01-23T06:19:05.000Z,"Step by step, one day at a time @maiashibutani. Praying for a speedy recovery.",Reply,https://www.instagram.com/p/B7mm-XppV9A/
2,jiroara,2020-01-23T06:21:44.000Z,Stay 💪 strong! You are my hero!,Reply,https://www.instagram.com/p/B7mm-XppV9A/
3,am8snow7,2020-01-23T09:41:41.000Z,💓,Reply,https://www.instagram.com/p/B7mm-XppV9A/
4,calimero.bba,2020-01-23T10:26:47.000Z,I love your pics❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
5,meotanh,2020-01-23T12:32:26.000Z,"Baby steps, take your time Maia 💖💖",Reply,https://www.instagram.com/p/B7mm-XppV9A/
6,todoallthethings,2020-01-23T12:55:09.000Z,💖🌈,Reply,https://www.instagram.com/p/B7mm-XppV9A/
7,thea_karlstad,2020-01-23T13:58:38.000Z,🙌🙌🙌,Reply,https://www.instagram.com/p/B7mm-XppV9A/
8,bellayukiten,2020-01-23T15:45:31.000Z,🙏❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
9,igloosunday,2020-01-23T17:02:51.000Z,Hope you're feeling better. I've been worried about you @maiashibutani!,Reply,https://www.instagram.com/p/B7mm-XppV9A/
10,itssalasamira,2020-01-23T23:41:45.000Z,❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
11,k_no_uta,2020-01-24T00:41:19.000Z,"How good to ready! Take your time, girl! ❤️",Reply,https://www.instagram.com/p/B7mm-XppV9A/
12,live4laughs,2020-01-24T07:02:11.000Z,❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
13,luckylucky20210,2020-01-24T07:28:05.000Z,❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
14,ruedesuff,2020-01-24T10:11:53.000Z,🙏🙏🙏💕,Reply,https://www.instagram.com/p/B7mm-XppV9A/
15,lavinaalonzo,2020-01-24T17:55:57.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
16,thehung1107,2020-01-24T18:42:05.000Z,Get better soon! Stay strong Maia!,Reply,https://www.instagram.com/p/B7mm-XppV9A/
17,karlazim,2020-01-24T23:10:24.000Z,"You’ll get there!  Slowly but surely.  Surgery &amp; cancer are no joke, but neither are you!! Take care of yourself.  I’m a 4+ year ovarian cancer survivor.  I promise it gets better &amp; better.  We can’t wait to see you back on the ice. ❤️⛸",Reply,https://www.instagram.com/p/B7mm-XppV9A/
18,margaretzhang,2020-01-25T03:05:34.000Z,Verified,2 likes,https://www.instagram.com/p/B7mm-XppV9A/
19,cyamasaki805619714,2020-01-25T05:19:31.000Z,Sending healing thoughts for your recovery. 🙏🏻,Reply,https://www.instagram.com/p/B7mm-XppV9A/
20,teresalindqvist,2020-01-25T20:30:10.000Z,❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
21,therealphilliplim,2020-01-26T01:10:40.000Z,Verified,1 like,https://www.instagram.com/p/B7mm-XppV9A/
22,bevpeterson14,2020-01-26T06:51:27.000Z,"My ""Your Memories on Facebook"" today was a photo I took of you and Alex in St. Paul after you'd won Nationals for the first time. I was so moved by your ""Fix You"" free dance that year I made the trip from the west coast to see it in person. It was an honor to see you skate. I wish you renewed and full health and strength, Maia. &lt;3",Reply,https://www.instagram.com/p/B7mm-XppV9A/
23,cry65ssy,2020-01-26T16:59:32.000Z,You are in our prayers...Italy loves you😘😘😘😘,Reply,https://www.instagram.com/p/B7mm-XppV9A/
24,saleesole,2020-01-22T23:19:23.000Z,❤,Reply,https://www.instagram.com/p/B7mm-XppV9A/
25,italogregorio,2020-01-23T00:14:24.000Z,🙏😍❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
26,motherhiggz,2020-01-23T00:48:31.000Z,Praying for your full recovery 🙏💖,Reply,https://www.instagram.com/p/B7mm-XppV9A/
27,shibsbringlife,2020-01-23T01:13:51.000Z,Sending so much ❤❤❤❤ your way.,Reply,https://www.instagram.com/p/B7mm-XppV9A/
28,lopezmiriamlizeth,2020-01-23T01:15:04.000Z,❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
29,sayheyifyoucant,2020-01-23T02:34:53.000Z,Wonderful love ❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
30,pearljade_,2020-01-23T02:56:49.000Z,Baby steps! We’re all here virtually cheering you on Maia☺️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
31,shelovesthecolorpink,2020-01-23T03:03:38.000Z,"so happy to hear from you, but take care of yourself first.",Reply,https://www.instagram.com/p/B7mm-XppV9A/
32,kathryntannert,2020-01-23T03:08:47.000Z,"Maia...thinking of you a lot. Sending hugs and positive thoughts for your continuing recovery, physical, emotional and spiritual. 🌹",Reply,https://www.instagram.com/p/B7mm-XppV9A/
33,capeusa,2020-01-23T03:11:21.000Z,Verified,Reply,https://www.instagram.com/p/B7mm-XppV9A/
34,xvalily,2020-01-23T04:21:20.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
35,frankiethewaffle,2020-01-23T05:33:31.000Z,All the best to you kiddo! From all of us!,Reply,https://www.instagram.com/p/B7mm-XppV9A/
36,saulius.a,2020-01-22T18:03:55.000Z,❤️❤️💪,Reply,https://www.instagram.com/p/B7mm-XppV9A/
37,annakizala,2020-01-22T18:44:13.000Z,💖💖💖,Reply,https://www.instagram.com/p/B7mm-XppV9A/
38,michla_miska,2020-01-22T18:54:04.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
39,iskates21,2020-01-22T18:55:44.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
40,marull66,2020-01-22T19:14:04.000Z,😭💕💕,Reply,https://www.instagram.com/p/B7mm-XppV9A/
41,kasuavue,2020-01-22T19:46:41.000Z,Yay!,Reply,https://www.instagram.com/p/B7mm-XppV9A/
42,12olha12,2020-01-22T21:13:16.000Z,Get well soon and start to dance little by little❤,Reply,https://www.instagram.com/p/B7mm-XppV9A/
43,ronyuan,2020-01-22T21:33:43.000Z,Verified,Reply,https://www.instagram.com/p/B7mm-XppV9A/
44,veronica_yqin,2020-01-22T21:41:54.000Z,頑張れ👍,Reply,https://www.instagram.com/p/B7mm-XppV9A/
45,autumn_princess2018,2020-01-22T22:13:07.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
46,bonjourtaeh,2020-01-22T22:33:49.000Z,🙏🏻🧡,Reply,https://www.instagram.com/p/B7mm-XppV9A/
47,masako_722,2020-01-22T23:13:48.000Z,I'm glad your post♥️♥️,Reply,https://www.instagram.com/p/B7mm-XppV9A/
