,username,datetime,comment,likes,url
0,theparishouse,2020-04-02T04:23:29.000Z,"God bless , her so cute 💕💕💕",1 like,https://www.instagram.com/p/B7uWeEghFva/
1,benedettafiorini,2020-04-05T22:29:55.000Z,👏🏻👏🏻👏🏻👏🏻,2 likes,https://www.instagram.com/p/B7uWeEghFva/
2,clofuller,2020-04-06T10:07:54.000Z,@carlygiffney,3 likes,https://www.instagram.com/p/B7uWeEghFva/
3,trinamcgeeintuitive,2020-04-06T14:20:32.000Z,Dance love 💃Oprah thank you 💃,2 likes,https://www.instagram.com/p/B7uWeEghFva/
4,lisa_lisa_302,2020-04-07T02:30:40.000Z,Yessssss got it grands. I love it.,2 likes,https://www.instagram.com/p/B7uWeEghFva/
5,iamlondonlavell,2020-04-12T20:21:27.000Z,You guys want an at home work out song! My single “Sweat” is officially out! Show me some love and like and subscribe on YouTube!❤️❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
6,poetic.lady,2020-04-15T03:13:09.000Z,Nice!!!😍,2 likes,https://www.instagram.com/p/B7uWeEghFva/
7,poetic.lady,2020-04-15T03:15:12.000Z,You were keepin up Oprah!!! 🔥 You looked like a youngster 💯,4 likes,https://www.instagram.com/p/B7uWeEghFva/
8,tmychell,2020-04-30T15:06:02.000Z,❤️❤️❤️,2 likes,https://www.instagram.com/p/B7uWeEghFva/
9,hopemwella,2020-05-09T05:21:20.000Z,❤️❤️,2 likes,https://www.instagram.com/p/B7uWeEghFva/
10,unique_decor.55,2020-05-25T04:52:33.000Z,Love the granny the way she dance ❤️,2 likes,https://www.instagram.com/p/B7uWeEghFva/
11,towas_eventplanner,2020-06-04T15:07:21.000Z,Great dance,2 likes,https://www.instagram.com/p/B7uWeEghFva/
12,merjaanneliparkkinen,2020-06-28T15:28:26.000Z,💚👍🏻💚!!!,1 like,https://www.instagram.com/p/B7uWeEghFva/
13,nihinlolawaalao,2020-06-29T00:41:39.000Z,How I wanna be when I'm this age❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
14,11___nona,2020-08-22T17:54:54.000Z,😂😂😂🤩🤩🤩,1 like,https://www.instagram.com/p/B7uWeEghFva/
15,sempreunidascomnoeli,2020-08-27T00:18:20.000Z,♥️♥️♥️♥️♥️☺️☺️☺️☺️🙌🙌🙌🙌👏👏👏👏👏,1 like,https://www.instagram.com/p/B7uWeEghFva/
16,mickittens,2020-09-19T15:41:52.000Z,@morgancbmiles I know you'd love this!,2 likes,https://www.instagram.com/p/B7uWeEghFva/
17,angel706789,2020-10-28T03:15:45.000Z,Love💗,1 like,https://www.instagram.com/p/B7uWeEghFva/
18,eddiebaby15,2021-01-30T17:28:22.000Z,Yesss!!!!!!!,1 like,https://www.instagram.com/p/B7uWeEghFva/
19,kamaceddo,2021-03-01T17:46:47.000Z,@marta.macedo1 vc tem que chegar nos 91 assim 😍🥰😅,1 like,https://www.instagram.com/p/B7uWeEghFva/
20,altadejs,2021-03-09T02:51:32.000Z,👏👏👏👏👏,1 like,https://www.instagram.com/p/B7uWeEghFva/
21,domjoaobatista,2021-03-11T21:18:20.000Z,❤️❤️❤️❤️❤️❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
22,lesliehersh,2020-02-23T07:32:13.000Z,@racheleighersh 😅❤️,3 likes,https://www.instagram.com/p/B7uWeEghFva/
23,she_is_a_soul,2020-02-23T09:27:30.000Z,for more than 15 years you are my ideal and i can't deny the huge positive impact you had on me since i was a little girl watching oprah show on mbc4 ... you are an angel you are an amazing creature oprah ... love you ❤ @oprah @owntv @oprah,4 likes,https://www.instagram.com/p/B7uWeEghFva/
24,lovel182,2020-02-27T03:36:33.000Z,God bless her soul this make me so happy,2 likes,https://www.instagram.com/p/B7uWeEghFva/
25,jessiewillimae,2020-03-01T03:30:48.000Z,@charlotte_wahanua @ezzabergz12 💕,2 likes,https://www.instagram.com/p/B7uWeEghFva/
26,astanaastana364,2020-03-01T14:45:54.000Z,Oooooommmmmmmggggggggg👏👏👏👏👏👏👏💖💖,2 likes,https://www.instagram.com/p/B7uWeEghFva/
27,bethgoulart63,2020-03-02T04:52:01.000Z,👏👏👏👏👏❤️❤️❤️❤️❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
28,ninakristofferson,2020-03-02T09:36:34.000Z,👏👏❤️❤️❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
29,dan_of_da_south,2020-03-04T11:34:30.000Z,Mrs. @Oprah Winfrey &amp; @juleshough,1 like,https://www.instagram.com/p/B7uWeEghFva/
30,biljanatutorjedina,2020-03-05T10:59:09.000Z,❤️🌞💋👏🤸‍♀️,1 like,https://www.instagram.com/p/B7uWeEghFva/
31,pat_s_rice,2020-03-09T04:31:47.000Z,"I had the privilege of not only seeing but group dancing in Denver with @juleshough . She is amazing! Thank you, Oprah!",2 likes,https://www.instagram.com/p/B7uWeEghFva/
32,brendaservedio,2020-03-22T14:28:49.000Z,@gabby_servedio @nana_astrid,1 like,https://www.instagram.com/p/B7uWeEghFva/
33,marinerphil,2020-03-23T07:34:10.000Z,Oprah makes the world beautiful ❤❤❤❤,3 likes,https://www.instagram.com/p/B7uWeEghFva/
34,siyafana.j,2020-03-26T04:38:12.000Z,YOU KNOW WE ARE LOSING A LOT OF PEOPLE OF THE CORONAVIRUS YOU MAKE THE WORLD BEAUTIFUL 😍😍😍😍😍😍😍😍😍😍😍😍,3 likes,https://www.instagram.com/p/B7uWeEghFva/
35,allsafe_777,2020-04-01T17:56:53.000Z,"Thank you Oprah, you made me feel happy :-)",1 like,https://www.instagram.com/p/B7uWeEghFva/
36,sonita2012,2020-02-12T05:19:09.000Z,@orspat,1 like,https://www.instagram.com/p/B7uWeEghFva/
37,lekehres,2020-02-12T06:53:03.000Z,❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
38,jenwil.iams19,2020-02-12T09:58:44.000Z,That's amazing,1 like,https://www.instagram.com/p/B7uWeEghFva/
39,hageadoina,2020-02-13T07:34:27.000Z,👏👏🌹🌹,1 like,https://www.instagram.com/p/B7uWeEghFva/
40,martha.lozier.18,2020-02-13T17:12:10.000Z,Good for you Julia keep going❤️,2 likes,https://www.instagram.com/p/B7uWeEghFva/
41,lucaluceart,2020-02-13T20:32:38.000Z,Verified,1 like,https://www.instagram.com/p/B7uWeEghFva/
42,frostedevents,2020-02-14T02:09:00.000Z,Completely obsessed with this! #omaginsiders,1 like,https://www.instagram.com/p/B7uWeEghFva/
43,lulu_and_roscoe,2020-02-15T14:06:22.000Z,@tara_m_cook So going to be us at 80!!! 😆🤩😍😂,1 like,https://www.instagram.com/p/B7uWeEghFva/
44,davisgirl4lif3,2020-02-16T18:47:03.000Z,@miya__lanae ..miss Rayne look!!,2 likes,https://www.instagram.com/p/B7uWeEghFva/
45,alfluenza,2020-02-17T00:51:06.000Z,Alright @youlatoe !!! Love it!!!👏🏾Congratulations,1 like,https://www.instagram.com/p/B7uWeEghFva/
46,_musicnote_usa_,2020-02-18T21:12:31.000Z,😯,Reply,https://www.instagram.com/p/B7uWeEghFva/
47,i_am_fierce_felice,2020-02-23T06:33:28.000Z,This warms my heart. What a Blessing ❤️❤️❤️,3 likes,https://www.instagram.com/p/B7uWeEghFva/
48,aasheekaa,2020-02-04T13:27:18.000Z,@itismemeera,Reply,https://www.instagram.com/p/B7uWeEghFva/
49,zaidabughosh,2020-02-04T17:54:15.000Z,@malhastara,Reply,https://www.instagram.com/p/B7uWeEghFva/
50,stellatyler10,2020-02-06T11:25:43.000Z,"Go Oprah, do your thing, great",Reply,https://www.instagram.com/p/B7uWeEghFva/
51,s1ccmade,2020-02-06T16:32:08.000Z,✔️,Reply,https://www.instagram.com/p/B7uWeEghFva/
52,melissavalls1,2020-02-07T13:11:49.000Z,@sorayavalls2,1 like,https://www.instagram.com/p/B7uWeEghFva/
53,marchbouquet,2020-02-08T09:11:09.000Z,👏👏🔥👍🏾👍🏾,Reply,https://www.instagram.com/p/B7uWeEghFva/
54,lourdesalves2015,2020-02-08T10:26:57.000Z,🥰💋♥️,1 like,https://www.instagram.com/p/B7uWeEghFva/
55,kekili41,2020-02-09T01:11:58.000Z,Grandmom getting it in..,1 like,https://www.instagram.com/p/B7uWeEghFva/
56,tictocsam,2020-02-09T04:31:33.000Z,@design.nu this will be us 🌟,1 like,https://www.instagram.com/p/B7uWeEghFva/
57,rebekahb1987,2020-02-09T12:23:36.000Z,She so beautiful 😍😍😍 #dancewithjulia you look great!😉👌🏾,2 likes,https://www.instagram.com/p/B7uWeEghFva/
58,emanuel_rendas,2020-02-10T08:06:26.000Z,Looking young @oprah,1 like,https://www.instagram.com/p/B7uWeEghFva/
59,coralitaxxo,2020-02-11T06:42:04.000Z,Omgggggggg soooooo cuteeee,1 like,https://www.instagram.com/p/B7uWeEghFva/
60,drkarmon,2020-02-01T20:18:04.000Z,Go Oprah! 👏🏽🎉,Reply,https://www.instagram.com/p/B7uWeEghFva/
61,thrivinglightinthestorm,2020-02-01T20:19:40.000Z,❤️❤️❤️,1 like,https://www.instagram.com/p/B7uWeEghFva/
62,serinne__,2020-02-01T22:19:23.000Z,Naem of the song please 🙏😍😍,Reply,https://www.instagram.com/p/B7uWeEghFva/
63,nadsandmatt_ladiesapparel,2020-02-01T23:20:11.000Z,Love this ❤️,Reply,https://www.instagram.com/p/B7uWeEghFva/
64,flavia123705,2020-02-02T01:09:19.000Z,❤️❤️❤️,Reply,https://www.instagram.com/p/B7uWeEghFva/
65,caribheritage,2020-02-02T01:23:58.000Z,@youlatoe I see you. Congratulations!,Reply,https://www.instagram.com/p/B7uWeEghFva/
66,shasha_fc,2020-02-02T01:43:14.000Z,Awww!!! ❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7uWeEghFva/
67,jacqueline.psl,2020-02-02T12:40:51.000Z,"May God bless us all to live, dance, be happy at 91! 🎉💖 you go girl 😍",Reply,https://www.instagram.com/p/B7uWeEghFva/
68,purplebutterfly0317,2020-02-03T02:34:00.000Z,Julia you are an inspiration for all ages.,Reply,https://www.instagram.com/p/B7uWeEghFva/
69,joydabok1008,2020-02-03T04:21:46.000Z,You r a good dancer 👍,1 like,https://www.instagram.com/p/B7uWeEghFva/
