,username,datetime,comment,likes,url
0,thedrewmack,2020-01-08T18:32:10.000Z,Can. Not. Wait.,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
1,kyarotskaya,2020-01-08T18:37:40.000Z,Looking good ⭐️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
2,arty.hdz,2020-01-08T18:48:30.000Z,Ahh I wish I could meet you 😭❤️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
3,official_tca,2020-01-08T18:53:45.000Z,🔥,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
4,viniciusnatann7,2020-01-08T18:58:51.000Z,💕,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
5,sierramccmedia,2020-01-08T19:07:57.000Z,Look at my angel,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
6,mrfatale11,2020-01-08T19:24:24.000Z,Could you be any more handsome 😍,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
7,jonatan_a_g,2020-01-08T20:30:21.000Z,You 're one of my favourite actor ♥️♥️♥️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
8,jonatan_a_g,2020-01-08T20:30:51.000Z,I Will love support you from Spain 💛 💛💛💛,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
9,jonatan_a_g,2020-01-08T20:40:12.000Z,Thank you so much for the time that you take reading the messages of your fans ❤️❤️❤️ Please never change of be so Awesome Who you are,2 likes,https://www.instagram.com/p/B7EXFk3jHeR/
10,migbauanna,2020-01-08T20:51:18.000Z,the best cast ? the answer is yes,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
11,orendarel,2020-01-08T20:59:28.000Z,Wow looking sharp!,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
12,joeystantonforpresident,2020-01-08T23:49:25.000Z,You win 🙌🏻,2 likes,https://www.instagram.com/p/B7EXFk3jHeR/
13,capndes,2020-01-09T01:17:22.000Z,"You’re looking amazing, sweetie.",1 like,https://www.instagram.com/p/B7EXFk3jHeR/
14,brettrutt,2020-01-09T04:33:55.000Z,🔥🔥🔥,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
15,mynameissisi,2020-01-09T16:53:51.000Z,Verified,3 likes,https://www.instagram.com/p/B7EXFk3jHeR/
16,truebluedevilfan,2020-01-11T23:06:19.000Z,😍 Looking my boy ronen and liv Tyler,2 likes,https://www.instagram.com/p/B7EXFk3jHeR/
17,rxdltus,2020-01-12T17:01:54.000Z,Anyone know where I can watch this interview online?,Reply,https://www.instagram.com/p/B7EXFk3jHeR/
18,millennial_foodie29,2020-01-13T19:54:52.000Z,Can’t wait to see it @ronenrubinstein,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
19,zvworld,2020-01-15T05:27:57.000Z,@ronenrubinstein congrats many blessings,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
20,yuyacrosszeria,2020-01-25T20:18:20.000Z,Forgot to ask @ronenrubinstein 🙋‍♀️ where's @natacha.karam in this pic ? I didn't see her in this premiere talk show 🤔🤷‍♀️ Thanks 😉 #911LoneStar,Reply,https://www.instagram.com/p/B7EXFk3jHeR/
21,mera_hakim74,2020-02-05T20:08:24.000Z,@salmahakim663,Reply,https://www.instagram.com/p/B7EXFk3jHeR/
22,crystal.horsespirit.pratt,2020-02-17T06:23:01.000Z,"@misslivalittle Tell me why you are still as gorgeous as ever?! 20 years after I first saw you as a beautiful Elven Princess and you are still a Goddess!! Ps. My Cat (7 years young) is named Arwen. My son has your son’s name, Milo! Needless to say, I’m a huge fan!",1 like,https://www.instagram.com/p/B7EXFk3jHeR/
23,niloufar.mohamadiii,2020-11-24T13:49:40.000Z,👏,Reply,https://www.instagram.com/p/B7EXFk3jHeR/
24,m.b.shipper,2020-01-08T18:08:01.000Z,❤️❤️❤️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
25,julesworks,2020-01-08T18:08:08.000Z,Verified,4 likes,https://www.instagram.com/p/B7EXFk3jHeR/
26,graciiebennett,2020-01-08T18:08:35.000Z,Ahh I’m excited 🥰,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
27,gmos1999,2020-01-08T18:09:59.000Z,🥺🥺my favorite person,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
28,erikaa.8,2020-01-08T18:15:49.000Z,❤️❤️❤️😍😍😍 Love yall!,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
29,brittney_9100,2020-01-08T18:16:09.000Z,👏🏻👏🏻,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
30,dannielpereiraa,2020-01-08T18:16:25.000Z,Iconic ❤️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
31,erikaa.8,2020-01-08T18:16:41.000Z,🙌🙌🙌🙌 #911LoneStar,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
32,adriannasdiary,2020-01-08T18:18:56.000Z,I wish I could watch 😭 ❤️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
33,margotbimr,2020-01-08T18:20:18.000Z,you guys ♥️🔥,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
34,gracieb69,2020-01-08T18:20:58.000Z,Great cast! 🙌❤️❤️❤️,1 like,https://www.instagram.com/p/B7EXFk3jHeR/
