,username,datetime,comment,likes,url
0,rico.1516,2020-05-20T15:49:19.000Z,😈 dont love u like i do noooooooooooo,1 like,https://www.instagram.com/p/B7MZukahkF8/
1,micahbraymoneymurch,2020-05-28T11:47:33.000Z,@simonebiles 🐍🥂🥰💫💖💯♥️ Simone Biles you're so nice and kind to youre true supporters I admire you're success and beauty 👸🏾(Queen),1 like,https://www.instagram.com/p/B7MZukahkF8/
2,ackersean1987,2020-06-04T06:23:49.000Z,Absolutely beautiful,Reply,https://www.instagram.com/p/B7MZukahkF8/
3,ackersean1987,2020-06-04T06:24:09.000Z,I love that quote,1 like,https://www.instagram.com/p/B7MZukahkF8/
4,iamevoragirl,2020-06-18T00:46:21.000Z,@simonebiles this is a beautiful picture😍😍,Reply,https://www.instagram.com/p/B7MZukahkF8/
5,cori_lov,2020-06-19T18:45:51.000Z,Aw snakey snake! 🐍💚,Reply,https://www.instagram.com/p/B7MZukahkF8/
6,sonny_neg_lakay,2020-06-27T04:50:10.000Z,Nope !!!,1 like,https://www.instagram.com/p/B7MZukahkF8/
7,rebiedemory,2020-07-06T11:02:00.000Z,J’aime bien les serpents mais une fois un peu peur😬😬,Reply,https://www.instagram.com/p/B7MZukahkF8/
8,gee_devon,2020-07-25T02:57:49.000Z,She beautiful🔥,Reply,https://www.instagram.com/p/B7MZukahkF8/
9,gentlesolescare,2020-07-26T04:02:02.000Z,Your brave but 🔥pictures,Reply,https://www.instagram.com/p/B7MZukahkF8/
10,poopooondoodoo,2020-09-20T05:57:37.000Z,Love it,Reply,https://www.instagram.com/p/B7MZukahkF8/
11,insidebeautyisthebestbeauty777,2020-09-20T13:11:42.000Z,U had a snake 🐍 on your back but u got free,1 like,https://www.instagram.com/p/B7MZukahkF8/
12,dawadahy,2020-09-30T19:15:43.000Z,I would love to see you in a MARVEL MOVIE OR SOMETHING WITH ACTION IN IT.,Reply,https://www.instagram.com/p/B7MZukahkF8/
13,deathrowboxing,2020-10-07T22:47:19.000Z,SILLY photo.,Reply,https://www.instagram.com/p/B7MZukahkF8/
14,ruix3moni,2020-10-29T13:22:21.000Z,um sis- theres a snake on you-,Reply,https://www.instagram.com/p/B7MZukahkF8/
15,danishy2,2020-12-26T01:46:19.000Z,Nerve of steel👏👏🔥,Reply,https://www.instagram.com/p/B7MZukahkF8/
16,solerose11,2021-01-20T00:07:21.000Z,So cool,1 like,https://www.instagram.com/p/B7MZukahkF8/
17,terrickbarnes,2021-06-06T23:29:18.000Z,Welp😂😂😂😂😂,Reply,https://www.instagram.com/p/B7MZukahkF8/
18,_sa99hire,2021-06-30T20:06:28.000Z,💕 🐍,Reply,https://www.instagram.com/p/B7MZukahkF8/
19,shchkulari,2021-07-05T12:37:15.000Z,The caption &amp; the picture ❤️🔥,Reply,https://www.instagram.com/p/B7MZukahkF8/
20,silvajussilenepereirada,2021-07-25T17:55:46.000Z,Gril excelente is my Love,Reply,https://www.instagram.com/p/B7MZukahkF8/
21,objective_waters,2021-07-27T13:08:15.000Z,🔥🔥,Reply,https://www.instagram.com/p/B7MZukahkF8/
22,mountainlover04,2021-07-30T04:53:00.000Z,Terrified of snakes so all I can say is I hope that was a fake one eek 😬,1 like,https://www.instagram.com/p/B7MZukahkF8/
23,bro_robbie89,2021-08-14T02:24:35.000Z,Fierce,Reply,https://www.instagram.com/p/B7MZukahkF8/
24,zulma_spamm06,2020-04-03T20:29:17.000Z,Omg afraid to the bees but not to snakes thats incredible😮,Reply,https://www.instagram.com/p/B7MZukahkF8/
25,cassidyflips18,2020-04-07T13:13:49.000Z,that is right simone,Reply,https://www.instagram.com/p/B7MZukahkF8/
26,bebi.viana,2020-04-08T15:43:44.000Z,You are super cool and you are like my hero,Reply,https://www.instagram.com/p/B7MZukahkF8/
27,newtexn,2020-04-11T14:30:19.000Z,Wheww👀 chile there’s something on your back. Lawd hammercy 🙈😂,Reply,https://www.instagram.com/p/B7MZukahkF8/
28,jessgym7,2020-04-11T22:49:50.000Z,Are you crazy?!?!?!,Reply,https://www.instagram.com/p/B7MZukahkF8/
29,maryj6444,2020-04-13T11:54:28.000Z,You are a beautiful young lady and don’t need gadgets or deadly animals as props.  Snakes are not pets no matter what people say about them.  The Bible says to bruise their head or they will bruise your heel.  Please stay safe and don’t buy into what other people think is cool.  Just be you!!,6 likes,https://www.instagram.com/p/B7MZukahkF8/
30,crush_severus_snape,2020-04-16T15:13:05.000Z,❤️❤️❤️❤️❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7MZukahkF8/
31,archieball_official,2020-04-30T05:32:03.000Z,@simonebiles. Aint no way in hell smh,3 likes,https://www.instagram.com/p/B7MZukahkF8/
32,1only1queen,2020-05-01T06:07:32.000Z,Is that your penis ?? 😂😂 @simonebiles,Reply,https://www.instagram.com/p/B7MZukahkF8/
33,anthonyflomo90,2020-05-06T21:45:14.000Z,She's illuminati,3 likes,https://www.instagram.com/p/B7MZukahkF8/
34,ozziethefroggie,2020-05-10T20:40:08.000Z,I loOoOoOve snakes. So cute,1 like,https://www.instagram.com/p/B7MZukahkF8/
35,champagnepapidg,2020-05-12T04:37:01.000Z,👀,Reply,https://www.instagram.com/p/B7MZukahkF8/
36,resse.maldonado,2020-02-26T17:43:16.000Z,I got my son a python,Reply,https://www.instagram.com/p/B7MZukahkF8/
37,cavlizzy,2020-03-01T20:09:47.000Z,Ummm...that's a lil too close to ur gorgeous face! EEK!,Reply,https://www.instagram.com/p/B7MZukahkF8/
38,davidjones9211,2020-03-02T21:25:05.000Z,"Fierce and fearless, Tokyo 2020 does not what it is in for.",Reply,https://www.instagram.com/p/B7MZukahkF8/
39,sol.shorter,2020-03-04T17:46:20.000Z,"OMG i was at the reptile store when u were getting the snake for your shoot, i have the videos",Reply,https://www.instagram.com/p/B7MZukahkF8/
40,cal__sereb,2020-03-05T02:19:59.000Z,Wild beautiful black girl ❤️💯😘,Reply,https://www.instagram.com/p/B7MZukahkF8/
41,ross_the_snake,2020-03-07T23:04:44.000Z,:D Snek!,2 likes,https://www.instagram.com/p/B7MZukahkF8/
42,andreawoodleyig,2020-03-10T14:38:26.000Z,So I’d have to have a snake on my back to make this statement?? No thank you 😂,1 like,https://www.instagram.com/p/B7MZukahkF8/
43,robbie9949,2020-03-16T13:27:14.000Z,🔥🔥🔥,1 like,https://www.instagram.com/p/B7MZukahkF8/
44,robbie9949,2020-03-16T13:27:45.000Z,REPTILIAN❤️❤️❤️,Reply,https://www.instagram.com/p/B7MZukahkF8/
45,isolaaanuoluwapo,2020-03-18T09:11:32.000Z,"OMG, I hope it wasn't really on you.",Reply,https://www.instagram.com/p/B7MZukahkF8/
46,cassadlla,2020-03-18T21:14:47.000Z,I love the snake 🐍❤️,Reply,https://www.instagram.com/p/B7MZukahkF8/
47,miiagameplays,2020-03-23T13:54:51.000Z,@cartagena_mrlalo,Reply,https://www.instagram.com/p/B7MZukahkF8/
48,dottie_4yobody,2020-02-05T06:33:54.000Z,#fearlessaf,Reply,https://www.instagram.com/p/B7MZukahkF8/
49,demonworldhiei,2020-02-06T11:10:11.000Z,You worship the serpent 🤦🏿‍♂️,1 like,https://www.instagram.com/p/B7MZukahkF8/
50,julieluycx,2020-02-09T12:56:09.000Z,❤️❤️❤️❤️❤️,Reply,https://www.instagram.com/p/B7MZukahkF8/
51,dianamendes072,2020-02-12T04:49:55.000Z,Oh NOOOOO way,1 like,https://www.instagram.com/p/B7MZukahkF8/
52,evolvinglola,2020-02-12T18:32:09.000Z,No boo I’m terrified of snakes 🤣🤣but u look beautiful,Reply,https://www.instagram.com/p/B7MZukahkF8/
53,sclma1,2020-02-12T20:16:41.000Z,Nope no way!🤮,2 likes,https://www.instagram.com/p/B7MZukahkF8/
54,sclma1,2020-02-12T20:17:36.000Z,I hate hate hate slithering critters and would throw up and pass out,Reply,https://www.instagram.com/p/B7MZukahkF8/
55,dmblaker,2020-02-16T06:09:03.000Z,No SNAKES Ever !!!! I think the ones WITHOUT legs are creepier,Reply,https://www.instagram.com/p/B7MZukahkF8/
56,angelinne.arangure,2020-02-17T00:36:54.000Z,😮😮,Reply,https://www.instagram.com/p/B7MZukahkF8/
57,kathryn_whittle,2020-02-17T19:36:10.000Z,Scary I don't like snakes#😮,1 like,https://www.instagram.com/p/B7MZukahkF8/
58,ellaluciagymnast,2020-02-22T21:42:40.000Z,Is that your snake?,Reply,https://www.instagram.com/p/B7MZukahkF8/
59,shked91,2020-02-23T16:49:54.000Z,🔥🔥😍,Reply,https://www.instagram.com/p/B7MZukahkF8/
60,_dalinox,2020-01-18T19:36:43.000Z,She brought that snake at pet bazaar in Florida I’m so excited she’s in the same state as me!!!!!!🤩💕💕💕💕,1 like,https://www.instagram.com/p/B7MZukahkF8/
61,peterin1999,2020-01-18T22:36:33.000Z,Omg so pretty,Reply,https://www.instagram.com/p/B7MZukahkF8/
62,brookeshomeboy,2020-01-19T17:33:24.000Z,did u get the noodle at pet bazaar? my stepmom saw you there when she was getting food for my snakes🤣🤣🤣,Reply,https://www.instagram.com/p/B7MZukahkF8/
