,username,datetime,comment,likes,url
0,theregojadaa,2020-12-10T00:03:57.000Z,Check dm,Reply,https://www.instagram.com/p/B63b17MHG8Y/
1,theregojadaa,2020-12-10T00:04:04.000Z,Check dm,Reply,https://www.instagram.com/p/B63b17MHG8Y/
2,theregojadaa,2020-12-10T00:04:09.000Z,Check dm pls,Reply,https://www.instagram.com/p/B63b17MHG8Y/
3,theregojadaa,2020-12-10T00:04:13.000Z,Check dm pls,Reply,https://www.instagram.com/p/B63b17MHG8Y/
4,theregojadaa,2020-12-10T00:04:17.000Z,Check dm pls,Reply,https://www.instagram.com/p/B63b17MHG8Y/
5,theregojadaa,2020-12-10T00:04:22.000Z,Check dm pls,Reply,https://www.instagram.com/p/B63b17MHG8Y/
6,theregojadaa,2020-12-10T00:04:26.000Z,Check dm pls,Reply,https://www.instagram.com/p/B63b17MHG8Y/
7,theregojadaa,2020-12-10T00:04:31.000Z,Check dm,Reply,https://www.instagram.com/p/B63b17MHG8Y/
8,ms.nykki2u,2020-12-17T04:31:05.000Z,Great movie,1 like,https://www.instagram.com/p/B63b17MHG8Y/
9,dolavez,2020-12-18T05:43:21.000Z,Super good movie 💯👍💕,1 like,https://www.instagram.com/p/B63b17MHG8Y/
10,ck.homes.9,2020-12-18T12:45:27.000Z,Wow anther One GOD Bless man typ love this 1000👍🏽🤜🏾🤩👍✌🏾cant wait.,Reply,https://www.instagram.com/p/B63b17MHG8Y/
11,bur8697,2020-12-18T19:02:09.000Z,Mr tyler perry are u hire 6622888707,1 like,https://www.instagram.com/p/B63b17MHG8Y/
12,bur8697,2020-12-18T19:03:51.000Z,I use to live n ga but move to see family n ms my name is burdette 662888707 I want to be a actor,Reply,https://www.instagram.com/p/B63b17MHG8Y/
13,v_marie_iam,2020-12-20T04:23:06.000Z,Me and my daughter just watched this and Confessions of a Marriage Counselor. Teaching her some things... 👍 Great 🎥!!,1 like,https://www.instagram.com/p/B63b17MHG8Y/
14,siueventos,2021-01-11T05:16:05.000Z,Eu e a minha família vimos este filme e amamos...... Hugs from do far..... Africa-Angola 🇦🇴,Reply,https://www.instagram.com/p/B63b17MHG8Y/
15,roxie.silha,2021-01-30T03:31:36.000Z,Awesome movie.,1 like,https://www.instagram.com/p/B63b17MHG8Y/
16,marceibarguen,2021-03-07T00:52:31.000Z,@anapatriciamarincordoba,Reply,https://www.instagram.com/p/B63b17MHG8Y/
17,reality.escapes.her,2021-05-31T02:28:24.000Z,I LOVE this movie! It is one of the best I've watched in a very long time!,Reply,https://www.instagram.com/p/B63b17MHG8Y/
18,rebekkalien,2021-06-11T15:14:44.000Z,Omg so good I got to watch it,1 like,https://www.instagram.com/p/B63b17MHG8Y/
19,mirahayslictxrealtor,2021-06-20T15:33:15.000Z,beat movie ❤️❤️🔥,Reply,https://www.instagram.com/p/B63b17MHG8Y/
20,martinontheway,2021-06-23T07:19:00.000Z,@tylerperry my mama loved this movie. And my aunts. 😎,Reply,https://www.instagram.com/p/B63b17MHG8Y/
21,luana_marasol,2021-07-07T18:53:27.000Z,"Muito significante esse filme ! Tyler , a interpretação de todos vcs foram perfeitas , parabéns 👏",Reply,https://www.instagram.com/p/B63b17MHG8Y/
22,jaleel_2.0,2021-07-25T05:38:31.000Z,I just watched that movie today,Reply,https://www.instagram.com/p/B63b17MHG8Y/
23,niecy_collins,2021-08-02T05:15:09.000Z,One of my favorite movies!!!! You did dat!!!!! 💯,1 like,https://www.instagram.com/p/B63b17MHG8Y/
24,_ellah_barbosa,2020-09-23T07:03:33.000Z,This was AMAZING!!!!!!!!!!!!!!!!!!❤️,Reply,https://www.instagram.com/p/B63b17MHG8Y/
25,safraelizabete,2020-09-23T10:15:30.000Z,Parabéns  o filme é  maravilhoso... uma lição pra vida.,Reply,https://www.instagram.com/p/B63b17MHG8Y/
26,itssfranisha,2020-10-09T03:03:38.000Z,❤️,Reply,https://www.instagram.com/p/B63b17MHG8Y/
27,neidefortes,2020-10-10T00:28:03.000Z,Eu assisti! Recomendo 👏👏👏👏👏,Reply,https://www.instagram.com/p/B63b17MHG8Y/
28,blessingchizzy39,2020-10-19T07:04:08.000Z,I love this movie so much ❤️,Reply,https://www.instagram.com/p/B63b17MHG8Y/
29,juliabandeiralemoss,2020-10-21T22:04:02.000Z,♥️,Reply,https://www.instagram.com/p/B63b17MHG8Y/
30,lakeytachrist395,2020-10-22T16:28:59.000Z,👏,Reply,https://www.instagram.com/p/B63b17MHG8Y/
31,meadediane,2020-10-24T15:13:09.000Z,Loved it,Reply,https://www.instagram.com/p/B63b17MHG8Y/
32,sheilahabiodun,2020-11-09T21:49:49.000Z,*Amazing Video must view: https://bit.ly/2GmqDhR*,Reply,https://www.instagram.com/p/B63b17MHG8Y/
33,tob_tallson,2020-11-30T20:41:32.000Z,💯💯💯💯 best movie in #2020,Reply,https://www.instagram.com/p/B63b17MHG8Y/
34,brace._face._shay,2020-11-30T21:47:32.000Z,That song at the end that says “tell the devil I’m coming home” is funny cuz Joe always calling Madea the devil 😭😭.,1 like,https://www.instagram.com/p/B63b17MHG8Y/
35,theregojadaa,2020-12-10T00:03:31.000Z,Check dm,Reply,https://www.instagram.com/p/B63b17MHG8Y/
36,mrsog9er,2020-05-18T00:11:25.000Z,I enjoyed this movie,Reply,https://www.instagram.com/p/B63b17MHG8Y/
37,kelly_amores,2020-05-22T13:57:03.000Z,Me encanto la pelicula 👏🏽👏🏽,Reply,https://www.instagram.com/p/B63b17MHG8Y/
38,blogueirapaty,2020-05-24T12:42:40.000Z,Amei está filme maravilhoso  Via Brasil 😍,1 like,https://www.instagram.com/p/B63b17MHG8Y/
39,sindarella_sa,2020-06-04T06:18:52.000Z,♥️♥️♥️♥️♥️🔥🔥🔥,Reply,https://www.instagram.com/p/B63b17MHG8Y/
40,dats_meh1,2020-06-16T17:26:06.000Z,This is a good movie I watched this 17 times,1 like,https://www.instagram.com/p/B63b17MHG8Y/
41,christina_mcgrier,2020-06-17T12:48:08.000Z,That was good Movie🔥,Reply,https://www.instagram.com/p/B63b17MHG8Y/
42,agathadastorywriter,2020-07-09T08:36:58.000Z,Still watching this... Can't get enough,1 like,https://www.instagram.com/p/B63b17MHG8Y/
43,lllafamilia,2020-07-20T01:52:50.000Z,Please make this a movie movie this is great I'm watching it now,Reply,https://www.instagram.com/p/B63b17MHG8Y/
44,masterchloeweedcritph,2020-08-13T12:16:24.000Z,Do na also apples make sure Super Soul Food movies about bright women,1 like,https://www.instagram.com/p/B63b17MHG8Y/
45,blksheepbby__,2020-08-20T05:59:17.000Z,Your,Reply,https://www.instagram.com/p/B63b17MHG8Y/
46,david_nu_fiam,2020-09-02T20:02:35.000Z,✅✅✅✅✅✌🏿🔥🔥🔥🔥🎬💫,Reply,https://www.instagram.com/p/B63b17MHG8Y/
47,talvesrose,2020-09-13T17:54:11.000Z,"As pessoas que trabalham contigo, você sempre  prestigia escalando para novos filmes, muito legal !! ( ja assisti ) fiquei surpresa com o final do porão ... 😱😱😱",Reply,https://www.instagram.com/p/B63b17MHG8Y/
48,take_nooo_bs,2020-04-15T19:15:13.000Z,Love this movie!,Reply,https://www.instagram.com/p/B63b17MHG8Y/
49,nikkibrigantino,2020-04-16T05:15:38.000Z,AMAZING🙌🏽,Reply,https://www.instagram.com/p/B63b17MHG8Y/
