,username,datetime,comment,likes,url
0,erika.l.r,2020-01-14T04:09:59.000Z,shipping options on the website aren’t working :(,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
1,durell.antony,2020-01-14T08:38:13.000Z,She’s chosen.,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
2,bryanwilliams995,2020-01-17T06:28:58.000Z,Cool,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
3,_.its_just_talia._,2020-01-19T05:07:49.000Z,💓💓,2 likes,https://www.instagram.com/p/B7KnyM9HJkY/
4,iluv3mm4,2020-01-19T19:58:57.000Z,Ur merch is so comfy n cute :),1 like,https://www.instagram.com/p/B7KnyM9HJkY/
5,livishsweets,2020-01-21T16:34:18.000Z,@willowsmith 😍will they still be available in February?,2 likes,https://www.instagram.com/p/B7KnyM9HJkY/
6,mybuttaflies,2020-01-23T17:46:19.000Z,Cant wait🍃🍃🍃,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
7,ts.kiyaah,2020-01-25T03:03:43.000Z,What the heck is a domestic fee and why is it charging $10 for every item I want to buy,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
8,isithoneyx,2020-02-02T18:48:49.000Z,Will the lightheaters sweater be restocked ? 🤭,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
9,officialkosijah,2020-02-10T19:53:14.000Z,Hoping you make it to Dallas Willow pie!! Gotta come support you!!💓😘,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
10,dajpway,2020-02-26T15:11:20.000Z,follow,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
11,ferdyah_gr3at,2020-03-01T08:41:51.000Z,"I wouldn't buy dat sheeet, looks messy 😂😂😂",Reply,https://www.instagram.com/p/B7KnyM9HJkY/
12,kensearight,2020-03-07T23:11:19.000Z,I need one of those💯❤️,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
13,ash.stunts,2020-03-30T05:02:37.000Z,Batty boy,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
14,raymondthe1st_,2020-03-31T01:20:13.000Z,Really wish I could afford to buy this rn. 🥺,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
15,s4nt7n0_santi,2020-04-03T18:34:13.000Z,"Beautyfull. Here, in Arg, doesn't avaliable..but love that",1 like,https://www.instagram.com/p/B7KnyM9HJkY/
16,oficial_shey,2020-04-26T16:12:03.000Z,😍😍😍 sonhoo,2 likes,https://www.instagram.com/p/B7KnyM9HJkY/
17,mzcecee,2020-05-15T21:09:09.000Z,💯,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
18,saddenlaylay,2020-07-08T03:45:19.000Z,This is cool and I really want that shirt.,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
19,thembekamasiba,2020-07-28T15:41:12.000Z,So are they now available,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
20,wenotfrienxs,2020-07-28T19:51:12.000Z,Willow,1 like,https://www.instagram.com/p/B7KnyM9HJkY/
21,little_tomwolfgwen,2020-08-26T03:32:39.000Z,🐧,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
22,malatjialex0,2020-10-28T14:01:10.000Z,Willow am from South Africa and I would like the shirt and maybe a hoodie if u have,Reply,https://www.instagram.com/p/B7KnyM9HJkY/
23,aluxeevirginhair_,2020-07-24T18:55:11.000Z,Wow,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
24,njikiyarielle,2020-08-02T07:45:50.000Z,2nd pic 😳 =&gt; inspo,2 likes,https://www.instagram.com/p/B7Mrubmn1Co/
25,mr._jfm,2020-08-11T17:07:06.000Z,Awesome,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
26,msjazzsquare,2020-08-12T22:10:24.000Z,"Yes , hairy armpits are best. Natural is where its at !",16 likes,https://www.instagram.com/p/B7Mrubmn1Co/
27,cordneyperkins,2020-08-23T06:47:52.000Z,Nithyanandam sister 🌟✨🕉👑,1 like,https://www.instagram.com/p/B7Mrubmn1Co/
28,little_tomwolfgwen,2020-08-26T03:32:09.000Z,🐧,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
29,richcompany,2020-09-08T02:21:26.000Z,Wow,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
30,nahhhbih_,2020-09-08T21:58:35.000Z,I’m here for it.,1 like,https://www.instagram.com/p/B7Mrubmn1Co/
31,gabriellelacerd,2020-09-18T15:36:56.000Z,👏🏻👏🏻👏🏻,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
32,nelsonlima.silva,2020-10-02T14:07:05.000Z,Amazing no words to express 👏,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
33,feliciag77,2020-10-05T10:50:07.000Z,You are Amazing ❣️,1 like,https://www.instagram.com/p/B7Mrubmn1Co/
34,ownership1st,2020-10-11T12:25:17.000Z,Excellent,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
35,tip_da_don,2020-11-16T12:42:53.000Z,❤️❤️❤️❤️ I love you're lifestyle 🥴😩,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
36,c_vino2290,2020-11-29T16:00:02.000Z,Cant even imagine my wrists in that position! Amazing!! @nic_vino,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
37,yukti9,2021-01-01T05:44:14.000Z,Mayurasana is where it's at! 😍,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
38,tyuanna15,2021-03-06T02:41:55.000Z,How do I lean how to do all this?,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
39,supreme_yasin,2021-03-07T12:34:35.000Z,Lemme smash you in that position 😩,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
40,che_real1,2021-04-01T00:31:38.000Z,@guel__g @cris.0210 🥺🥺🥺,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
41,andreshonua72,2021-05-08T17:36:48.000Z,🍂,Reply,https://www.instagram.com/p/B7Mrubmn1Co/
42,bossymom__sia,2020-04-24T23:44:04.000Z,💖💖,Reply,https://www.instagram.com/p/B7GJ-iCHhgC/
43,bulletproofmarquez,2020-04-26T23:58:49.000Z,Your so cute! Thank you!Old soul beautiful 🦋,Reply,https://www.instagram.com/p/B7GJ-iCHhgC/
44,lovethy_prettytee,2020-05-05T11:14:40.000Z,What’s the first step?,Reply,https://www.instagram.com/p/B7GJ-iCHhgC/
45,_felecia_vz,2020-05-05T19:35:20.000Z,"You are brilliant, be blessed ❤️❤️❤️",Reply,https://www.instagram.com/p/B7GJ-iCHhgC/
